driver,lag,corr,n
TSMP wtda,0,-0.04898732636120568,11348
TSMP wtda,1,0.008690089545561991,11246
TSMP wtda,2,-0.0018110373986304031,11144
TSMP wtda,3,0.005139972621627682,11042
TSMP wtda,4,0.02699151688149182,10940
TSMP wtda,5,0.037361776147500615,10838
TSMP wtda,6,0.03932722351104561,10736
Precipitation anomaly,0,-0.029451109949483904,11348
Precipitation anomaly,1,0.013616253137082607,11246
Precipitation anomaly,2,0.022428799667382992,11144
Precipitation anomaly,3,0.0034358246897172127,11042
Precipitation anomaly,4,-0.008780898526731832,10940
Precipitation anomaly,5,0.0014966269190001668,10838
Precipitation anomaly,6,0.006299808428163269,10736
Soil moisture anomaly,0,0.02940905224814741,11348
Soil moisture anomaly,1,0.04324177924733742,11246
Soil moisture anomaly,2,0.028652322132511187,11144
Soil moisture anomaly,3,-0.010585217282423077,11042
Soil moisture anomaly,4,-0.03521026033200173,10940
Soil moisture anomaly,5,-0.03484345756757724,10838
Soil moisture anomaly,6,-0.03028988581188325,10736
