site_id,well_id,gmw_bro_id,tube_number,distance_to_use_m,use_obj_type,use_obj_id,tube_rank_within_well_meta,gld_bro_id,gld_observations_meta,gld_first_date_meta,gld_last_date_meta,series_unknown_csv_url,series_preliminary_csv_url,series_fully_assessed_csv_url,bro_csv_url
135,108,GMW000000003963,1,237.7166374382076,design_well,536283,3,GLD000000002208,36,1992-01-13,2025-05-08,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002208?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002208?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002208?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002208
136,108,GMW000000003963,2,237.7166374382076,design_well,536283,1,GLD000000002497,39,1992-01-13,2023-11-20,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002497?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002497?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002497?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002497
137,108,GMW000000003963,3,237.7166374382076,design_well,536283,2,GLD000000002434,39,1992-01-13,2023-11-20,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002434?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002434?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002434?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002434
138,109,GMW000000003964,1,435.49561476983564,facility_point,GUF000000002097,1,GLD000000002157,36,1998-12-04,2024-03-07,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002157?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002157?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002157?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002157
139,109,GMW000000003964,2,435.49561476983564,facility_point,GUF000000002097,2,GLD000000002129,35,1998-12-04,2024-03-07,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002129?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002129?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002129?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002129
143,111,GMW000000003966,1,793.2023227706946,facility_point,GUF000000047219,2,GLD000000002492,24,2003-09-05,2024-03-18,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002492?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002492?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002492?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002492
145,111,GMW000000003966,3,793.2023227706946,facility_point,GUF000000047219,1,GLD000000002102,36,2003-09-05,2024-03-18,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002102?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002102?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002102?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002102
147,113,GMW000000003968,1,1313.0180033619476,facility_point,GUF000000084962,1,GLD000000002280,27,1980-01-28,2020-06-23,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002280?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002280?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002280?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002280
160,120,GMW000000003975,1,419.54896281074724,facility_point,GUF000000006720,1,GLD000000002456,20,1995-10-31,2024-03-04,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002456?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002456?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002456?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002456
161,121,GMW000000003976,1,77.02540609872946,facility_point,GUF000000006565,1,GLD000000002435,36,1996-03-29,2024-03-14,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002435?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002435?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002435?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002435
167,125,GMW000000003980,1,403.2063137276544,facility_point,GUF000000010815,3,GLD000000002697,4,1992-01-13,2020-04-08,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002697?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002697?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002697?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002697
168,125,GMW000000003980,2,403.2063137276544,facility_point,GUF000000010815,2,GLD000000002277,34,1992-01-13,2024-03-01,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002277?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002277?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002277?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002277
169,125,GMW000000003980,3,403.2063137276544,facility_point,GUF000000010815,1,GLD000000002598,38,1992-01-13,2024-03-07,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002598?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002598?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002598?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002598
171,127,GMW000000003982,1,946.963379557511,facility_point,GUF000000034799,1,GLD000000002739,35,1999-04-27,2024-03-05,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002739?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002739?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002739?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002739
173,128,GMW000000003983,2,425.6191964464975,facility_point,GUF000000001098,1,GLD000000002053,36,1994-06-28,2024-03-06,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002053?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002053?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002053?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002053
175,130,GMW000000003985,1,82.20121767824523,design_well,541505,2,GLD000000002152,4,1998-07-14,2019-12-31,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002152?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002152?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002152?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002152
176,130,GMW000000003985,2,82.20121767824523,design_well,541505,1,GLD000000002537,38,1998-07-14,2023-10-18,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002537?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002537?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002537?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002537
180,133,GMW000000003988,3,534.0587938347915,facility_point,GUF000000075998,1,GLD000000002178,36,1998-10-23,2024-03-18,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002178?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002178?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002178?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002178
185,136,GMW000000003991,1,436.0782225974686,facility_point,GUF000000008624,1,GLD000000002822,45,1992-03-30,2024-03-05,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002822?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002822?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002822?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002822
188,139,GMW000000003994,1,524.6376019848132,facility_point,GUF000000014085,1,GLD000000002080,39,1993-05-12,2023-10-17,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002080?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002080?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002080?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002080
189,140,GMW000000003995,1,910.8743483889123,facility_point,GUF000000020150,1,GLD000000002436,34,1997-11-21,2024-03-07,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002436?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002436?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002436?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002436
199,147,GMW000000004002,1,1592.64265667389,facility_point,GUF000000022345,1,GLD000000002557,16,1987-07-28,2020-10-01,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002557?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002557?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002557?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002557
200,148,GMW000000004003,1,1034.9517609175678,facility_point,GUF000000082462,1,GLD000000002504,11,1999-11-12,2024-03-18,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002504?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002504?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002504?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002504
201,149,GMW000000004004,1,127.9450824341243,facility_point,GUF000000005433,1,GLD000000002251,4,2001-08-14,2024-03-06,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002251?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002251?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002251?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002251
204,152,GMW000000004007,1,382.0067843215023,design_well,539088,1,GLD000000002362,37,1992-01-13,2024-03-07,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002362?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002362?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002362?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002362
206,152,GMW000000004007,3,382.0067843215023,design_well,539088,2,GLD000000002506,36,1992-01-13,2024-03-07,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002506?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002506?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002506?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002506
209,155,GMW000000004010,1,1532.7157222532792,facility_point,GUF000000012979,1,GLD000000002805,19,2004-07-15,2024-02-14,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002805?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002805?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002805?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002805
217,160,GMW000000004015,2,343.53675885280427,facility_point,GUF000000005744,1,GLD000000002449,14,1984-05-01,2017-06-21,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002449?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002449?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002449?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002449
219,161,GMW000000004016,1,590.2154014361956,facility_point,GUF000000020658,1,GLD000000002300,34,1975-12-29,2023-11-01,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002300?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002300?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002300?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002300
227,165,GMW000000004020,1,1023.6342264980319,design_well,534871,1,GLD000000002827,37,1992-03-30,2023-11-01,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002827?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002827?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002827?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002827
229,167,GMW000000004022,1,1203.7505092057506,design_well,540093,1,GLD000000002032,32,1996-07-03,2024-02-06,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002032?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002032?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002032?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002032
233,171,GMW000000004026,1,1299.4503614860614,facility_point,GUF000000017934,1,GLD000000002326,2,1975-11-13,2018-12-04,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002326?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002326?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002326?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002326
234,171,GMW000000004026,2,1299.4503614860614,facility_point,GUF000000017934,2,GLD000000002770,2,1975-11-13,2018-12-04,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002770?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002770?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002770?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002770
236,172,GMW000000004027,2,441.38925808182574,facility_point,GUF000000005352,1,GLD000000002586,34,2003-04-15,2024-03-06,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002586?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002586?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002586?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002586
239,173,GMW000000004028,1,546.6441017056522,facility_point,GUF000000082498,1,GLD000000002108,36,1993-06-25,2024-01-15,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002108?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002108?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002108?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002108
240,173,GMW000000004028,2,546.6441017056522,facility_point,GUF000000082498,2,GLD000000002378,34,1993-06-25,2024-01-15,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002378?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002378?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002378?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002378
241,174,GMW000000004029,1,250.33259838052032,facility_point,GUF000000042018,1,GLD000000002229,36,1966-07-28,2023-10-26,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002229?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002229?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002229?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000002229
