driver,lag,corr,n
TSMP wtda,0,-0.06002302383847277,11504
Precipitation anomaly,0,0.005737348000026382,11504
Soil moisture anomaly,0,0.03066764589140347,11504
TSMP wtda,1,0.0038798322561070754,11402
Precipitation anomaly,1,0.011209017149862435,11402
Soil moisture anomaly,1,0.0229246082667291,11402
TSMP wtda,2,-0.016316360450822735,11300
Precipitation anomaly,2,-0.007856547178730881,11300
Soil moisture anomaly,2,0.01883663216765114,11300
TSMP wtda,3,-0.01927991100911469,11198
Precipitation anomaly,3,0.011405058904295471,11198
Soil moisture anomaly,3,-0.007825750500454596,11198
TSMP wtda,4,0.0006320421126087303,11096
Precipitation anomaly,4,-0.010225221294234624,11096
Soil moisture anomaly,4,-0.0316780804776183,11096
TSMP wtda,5,0.015092683849070292,10994
Precipitation anomaly,5,-0.007605414639979775,10994
Soil moisture anomaly,5,-0.026267882389019576,10994
TSMP wtda,6,0.024038816029076975,10892
Precipitation anomaly,6,0.0011012457657864347,10892
Soil moisture anomaly,6,-0.013921536882137353,10892
