site_id,driver_code,driver,lag,corr,n_overlap,coverage_months,abs_corr,driver_lag
9687,pr_a,Precipitation anomaly,3,0.2030502158773356,116,116,0.2030502158773356,Precipitation t-3
9687,sm_a,Soil moisture anomaly,1,0.27162318768770294,116,116,0.27162318768770294,Soil moisture t-1
9687,tsmp_wtda,TSMP wtda,2,0.21031676615760841,116,116,0.21031676615760841,TSMP wtda t-2
9941,pr_a,Precipitation anomaly,2,-0.07525237935725684,181,181,0.07525237935725684,Precipitation t-2
9941,sm_a,Soil moisture anomaly,3,-0.059537507849016125,181,181,0.059537507849016125,Soil moisture t-3
9941,tsmp_wtda,TSMP wtda,3,0.31481425958779014,181,181,0.31481425958779014,TSMP wtda t-3
10385,pr_a,Precipitation anomaly,3,0.1832419186416513,170,170,0.1832419186416513,Precipitation t-3
10385,sm_a,Soil moisture anomaly,2,-0.2469779471105405,170,170,0.2469779471105405,Soil moisture t-2
10385,tsmp_wtda,TSMP wtda,1,0.30383403223529437,170,170,0.30383403223529437,TSMP wtda t-1
18022,pr_a,Precipitation anomaly,1,0.1792385328408735,67,67,0.1792385328408735,Precipitation t-1
18022,sm_a,Soil moisture anomaly,1,0.08817451018265286,67,67,0.08817451018265286,Soil moisture t-1
18022,tsmp_wtda,TSMP wtda,3,0.08855956473663887,67,67,0.08855956473663887,TSMP wtda t-3
18027,pr_a,Precipitation anomaly,2,-0.14363126492722356,67,67,0.14363126492722356,Precipitation t-2
18027,sm_a,Soil moisture anomaly,1,0.16648096857339736,67,67,0.16648096857339736,Soil moisture t-1
18027,tsmp_wtda,TSMP wtda,3,0.4052607108083655,67,67,0.4052607108083655,TSMP wtda t-3
18055,pr_a,Precipitation anomaly,3,0.24050618981793628,67,67,0.24050618981793628,Precipitation t-3
18055,sm_a,Soil moisture anomaly,3,0.2754057815578216,67,67,0.2754057815578216,Soil moisture t-3
18055,tsmp_wtda,TSMP wtda,2,-0.5823638088674092,67,67,0.5823638088674092,TSMP wtda t-2
18086,pr_a,Precipitation anomaly,1,0.30898923889722674,67,67,0.30898923889722674,Precipitation t-1
