site_id,driver_code,driver,lag,corr,n_overlap,coverage_months
9689,tsmp_wtda,TSMP wtda,0,0.09054157717882771,116,116
9689,pr_a,Precipitation anomaly,0,0.07188974405679198,116,116
9689,sm_a,Soil moisture anomaly,0,0.055688741699959694,116,116
9943,tsmp_wtda,TSMP wtda,0,0.13640508376078084,177,177
9943,pr_a,Precipitation anomaly,0,0.14515067866458284,177,177
9943,sm_a,Soil moisture anomaly,0,0.024897832361007455,177,177
10385,tsmp_wtda,TSMP wtda,0,0.30658231876927144,170,170
10385,pr_a,Precipitation anomaly,0,0.09317977747716769,170,170
10385,sm_a,Soil moisture anomaly,0,-0.23161733395643502,170,170
18022,tsmp_wtda,TSMP wtda,0,-0.03334180136576774,67,67
18022,pr_a,Precipitation anomaly,0,0.163357053762673,67,67
18022,sm_a,Soil moisture anomaly,0,0.18318665049906274,67,67
18027,tsmp_wtda,TSMP wtda,0,0.0830117966629116,67,67
18027,pr_a,Precipitation anomaly,0,-0.013834878430949995,67,67
18027,sm_a,Soil moisture anomaly,0,0.08962850612840098,67,67
18055,tsmp_wtda,TSMP wtda,0,-0.47781016531057463,67,67
18055,pr_a,Precipitation anomaly,0,0.19115835483656712,67,67
18055,sm_a,Soil moisture anomaly,0,0.19990798335346982,67,67
18086,tsmp_wtda,TSMP wtda,0,-0.4051502935928685,67,67
18086,pr_a,Precipitation anomaly,0,0.3283344415155388,67,67
18086,sm_a,Soil moisture anomaly,0,0.10532377048820872,67,67
29249,tsmp_wtda,TSMP wtda,0,0.029124395631578332,124,124
29249,pr_a,Precipitation anomaly,0,0.02411273613222413,124,124
29249,sm_a,Soil moisture anomaly,0,0.004837180004197471,124,124
29263,tsmp_wtda,TSMP wtda,0,-0.33121734799706876,131,131
29263,pr_a,Precipitation anomaly,0,0.002926679629517356,131,131
29263,sm_a,Soil moisture anomaly,0,0.08128850066303425,131,131
29357,tsmp_wtda,TSMP wtda,0,-0.0398224731967048,127,127
29357,pr_a,Precipitation anomaly,0,0.20345713826302067,127,127
29357,sm_a,Soil moisture anomaly,0,0.08075135903370641,127,127
29366,tsmp_wtda,TSMP wtda,0,0.13448018010881457,127,127
29366,pr_a,Precipitation anomaly,0,0.08245275870537506,127,127
29366,sm_a,Soil moisture anomaly,0,-0.06561131898295723,127,127
29373,tsmp_wtda,TSMP wtda,0,-0.240648186852489,112,112
29373,pr_a,Precipitation anomaly,0,-0.029180110497449056,112,112
29373,sm_a,Soil moisture anomaly,0,0.04737464691996171,112,112
29419,tsmp_wtda,TSMP wtda,0,-0.1463807027817894,136,136
29419,pr_a,Precipitation anomaly,0,-0.19932918048109424,136,136
29419,sm_a,Soil moisture anomaly,0,-0.06990247215613064,136,136
29465,tsmp_wtda,TSMP wtda,0,-0.1034950352362096,77,77
29465,pr_a,Precipitation anomaly,0,-0.35096368399325434,77,77
29465,sm_a,Soil moisture anomaly,0,0.14508067609907946,77,77
29476,tsmp_wtda,TSMP wtda,0,0.09661949224863355,122,122
29476,pr_a,Precipitation anomaly,0,0.03959993300878868,122,122
29476,sm_a,Soil moisture anomaly,0,0.08566392290525389,122,122
29532,tsmp_wtda,TSMP wtda,0,-0.0352704119875023,120,120
29532,pr_a,Precipitation anomaly,0,0.03336556631430936,120,120
