split,model_family,delta_rmse_vs_baseline,delta_mae_vs_baseline,delta_r2_vs_baseline
cal,Context-Aware Selective Learning,-0.024246523568345335,-0.040056705474853516,0.020262718200683594
cal,Site-Hard Expert Selector,-0.016363470360432952,-0.017510831356048584,0.01370096206665039
cal,Deep Context LSTM (Always TL),0.002801178382539682,0.001498401165008545,-0.002356231212615967
cal,Random Forest,0.018800041911212872,-0.04306540187420893,-0.01587439046295469
cal,Baseline LSTM (TL),0.16854381392060525,0.0956992506980896,-0.14740914106369019
cal,Baseline LSTM (No TL),0.35499367174526597,0.36372309923171997,-0.3238373398780823
test,Context-Aware Selective Learning,-0.013705291310205148,-0.023910939693450928,0.010657906532287598
test,Site-Hard Expert Selector,-0.009746168009314271,-0.01660323143005371,0.007586240768432617
test,Deep Context LSTM (Always TL),-0.007785541443703359,-0.01803034543991089,0.006062924861907959
test,Random Forest,0.04759169540566477,-0.06749603730195874,-0.03755004043788335
test,Baseline LSTM (No TL),0.21673162807000734,0.124442458152771,-0.17779141664505005
test,Baseline LSTM (TL),0.23734642060201727,0.1354597806930542,-0.19560861587524414
val,Context-Aware Selective Learning,0.002949120293591845,0.00666654109954834,-0.00333559513092041
val,Site-Hard Expert Selector,0.008308880333309121,0.01530921459197998,-0.009413540363311768
val,Deep Context LSTM (Always TL),0.014184999728548142,0.025570988655090332,-0.016100585460662842
val,Random Forest,0.02256202460317769,0.028188743024395224,-0.02567602777070377
val,Baseline LSTM (TL),0.09714157854080518,0.10644054412841797,-0.11312896013259888
val,Baseline LSTM (No TL),0.10740869422921273,0.13155966997146606,-0.12547844648361206
