site_id,model_family,rmse,mae,n
9687,Random Forest,1.2315545592761499,1.023985853493206,38
9687,Deep Context LSTM (Always TL),1.249910593032837,0.9299247860908508,38
9687,Site-Hard Expert Selector,1.249910593032837,0.9299247860908508,38
9687,Context-Aware Selective Learning,1.2653934955596924,0.9376698732376099,38
9687,Baseline LSTM (No TL),1.2728919982910156,0.9796965718269348,38
9687,Deep Context LSTM (No TL),1.2845728397369385,0.9554660320281982,38
9687,Baseline LSTM (TL),1.3043664693832397,1.005044937133789,38
9941,Deep Context LSTM (No TL),0.6619635224342346,0.5087526440620422,38
9941,Baseline LSTM (TL),0.7598384022712708,0.6521665453910828,38
9941,Baseline LSTM (No TL),0.7616719007492065,0.6396196484565735,38
9941,Context-Aware Selective Learning,0.7677438855171204,0.5850053429603577,38
9941,Deep Context LSTM (Always TL),0.7824370265007019,0.593389630317688,38
9941,Site-Hard Expert Selector,0.7824370265007019,0.593389630317688,38
9941,Random Forest,0.8025435773176753,0.6208859625932232,38
10385,Deep Context LSTM (Always TL),0.2780810594558716,0.24144750833511353,33
10385,Site-Hard Expert Selector,0.2780810594558716,0.24144750833511353,33
10385,Context-Aware Selective Learning,0.30877193808555603,0.27220481634140015,33
10385,Deep Context LSTM (No TL),0.3876674175262451,0.3375973701477051,33
10385,Random Forest,0.4738454829601066,0.4030237848473246,33
10385,Baseline LSTM (No TL),1.8529504537582397,1.838873267173767,33
10385,Baseline LSTM (TL),1.8971142768859863,1.883576512336731,33
18022,Deep Context LSTM (No TL),0.703391432762146,0.48897290229797363,38
18022,Context-Aware Selective Learning,0.7135491967201233,0.5067148804664612,38
18022,Random Forest,0.7651579476929596,0.5408145252469805,38
18022,Deep Context LSTM (Always TL),0.7672722339630127,0.561720609664917,38
18022,Site-Hard Expert Selector,0.7672722339630127,0.561720609664917,38
18022,Baseline LSTM (No TL),1.0036572217941284,0.7490155696868896,38
18022,Baseline LSTM (TL),1.039648175239563,0.796684980392456,38
18027,Deep Context LSTM (Always TL),0.4421539306640625,0.37372034788131714,38
18027,Site-Hard Expert Selector,0.4421539306640625,0.37372034788131714,38
18027,Context-Aware Selective Learning,0.4640837013721466,0.37890610098838806,38
18027,Random Forest,0.48844061535309397,0.39848640623286874,38
18027,Deep Context LSTM (No TL),0.5604495406150818,0.461138516664505,38
18027,Baseline LSTM (No TL),0.5984125733375549,0.4765883982181549,38
18027,Baseline LSTM (TL),0.6501291394233704,0.5488486886024475,38
18055,Context-Aware Selective Learning,0.25537535548210144,0.20742501318454742,38
18055,Deep Context LSTM (Always TL),0.26509547233581543,0.22013847529888153,38
18055,Site-Hard Expert Selector,0.26509547233581543,0.22013847529888153,38
18055,Deep Context LSTM (No TL),0.2658316195011139,0.204423725605011,38
18055,Baseline LSTM (No TL),0.27637043595314026,0.21303069591522217,38
18055,Random Forest,0.2944803135099355,0.24052286493066863,38
18055,Baseline LSTM (TL),0.3237869441509247,0.2664452791213989,38
18086,Context-Aware Selective Learning,0.8096087574958801,0.5246812701225281,38
18086,Deep Context LSTM (Always TL),0.8156193494796753,0.547581136226654,38
18086,Site-Hard Expert Selector,0.8156193494796753,0.547581136226654,38
18086,Random Forest,0.8366553443969056,0.5357107547705896,38
18086,Deep Context LSTM (No TL),0.8413481116294861,0.5087506175041199,38
18086,Baseline LSTM (No TL),1.066165566444397,0.7410942316055298,38
18086,Baseline LSTM (TL),1.0994188785552979,0.7954618334770203,38
29249,Deep Context LSTM (Always TL),0.8197510242462158,0.7162744402885437,17
29249,Baseline LSTM (TL),0.8208553194999695,0.7242013216018677,17
29249,Context-Aware Selective Learning,0.823742687702179,0.7019876837730408,17
29249,Baseline LSTM (No TL),0.8345128297805786,0.7164552211761475,17
29249,Deep Context LSTM (No TL),0.8773330450057983,0.7403199076652527,17
29249,Site-Hard Expert Selector,0.8773330450057983,0.7403199076652527,17
