model_family,split,rmse,mae,r2,n
Context-Aware Selective Learning,cal,1.1195571949648424,0.7403537631034851,0.2029781937599182,1292
Site-Hard Expert Selector,cal,1.1704231566799634,0.8052029540301276,0.12890917602409602,1292
Deep Context LSTM (No TL),cal,1.2159053175291563,0.8570821285247803,0.059893250465393066,1292
Deep Context LSTM (Always TL),cal,1.2308567464758657,0.8724221587181091,0.03663104772567749,1292
Random Forest,cal,1.2450362517398623,0.8681349936657814,0.014307115369384338,1292
Baseline LSTM (TL),cal,1.263074778030763,0.8978523015975952,-0.014461994171142578,1292
Baseline LSTM (No TL),cal,1.2642873594690538,0.9020617008209229,-0.0164107084274292,1292
Context-Aware Selective Learning,test,1.2628956788443042,0.8700042366981506,0.22718000411987305,2076
Site-Hard Expert Selector,test,1.2867692592142732,0.8810908594896616,0.1976852999419677,2076
Deep Context LSTM (Always TL),test,1.2948350603970464,0.9015377163887024,0.18759554624557495,2076
Random Forest,test,1.2977279453046584,0.8909524811709328,0.1839613871775092,2076
Deep Context LSTM (No TL),test,1.3044742706937216,0.9267797470092773,0.17545491456985474,2076
Baseline LSTM (No TL),test,1.4378489195255735,0.9700813889503479,-0.001774430274963379,2076
Baseline LSTM (TL),test,1.4395936563492495,0.97235107421875,-0.00420689582824707,2076
Context-Aware Selective Learning,val,1.2230279619477948,0.8552262783050537,0.19281399250030518,1766
Deep Context LSTM (Always TL),val,1.227826918519514,0.8690009713172913,0.1864669919013977,1766
Site-Hard Expert Selector,val,1.2365860437437126,0.8725725163961717,0.17481839285859613,1766
Deep Context LSTM (No TL),val,1.2442319348422441,0.8781829476356506,0.1645824909210205,1766
Random Forest,val,1.262667720980293,0.8850201239817795,0.13964237047411399,1766
Baseline LSTM (No TL),val,1.3802349831749328,0.9754562377929688,-0.028032779693603516,1766
Baseline LSTM (TL),val,1.3812682154908602,0.9770627617835999,-0.029572486877441406,1766
