model_family,target_abs_regime,n,rmse,mae,bias,median_abs_error,p90_abs_error,target_mean,target_std
Baseline LSTM (No TL),near-normal |y| <= 0.5,688.0,0.28043927549298026,0.23730365036943452,-0.07175672027758907,0.22835784405469894,0.45020583868026737,0.032166542879209836,0.27124176898624636
Baseline LSTM (TL),near-normal |y| <= 0.5,688.0,0.3071355216982,0.25956911622237977,-0.12949079193775867,0.24698583036661148,0.49230012297630343,0.032166542879209836,0.27124176898624636
Random Forest,near-normal |y| <= 0.5,688.0,0.4148691837055768,0.3256831855464423,-0.011683544374157697,0.2696756571531296,0.6371967911720277,0.032166542879209836,0.27124176898624636
Context-Aware Selective Learning,near-normal |y| <= 0.5,688.0,0.45462151024069675,0.35895350997249575,-0.04460591249449482,0.28745710849761963,0.7655449211597444,0.032166542879209836,0.27124176898624636
Deep Context LSTM (Always TL),near-normal |y| <= 0.5,688.0,0.4626061122255848,0.3627306125539647,0.01722209548461251,0.28696341812610626,0.7757956147193908,0.032166542879209836,0.27124176898624636
Deep Context LSTM (No TL),near-normal |y| <= 0.5,688.0,0.470600768312395,0.3701179873842616,-0.0934317970599676,0.3109019994735718,0.7768519163131716,0.032166542879209836,0.27124176898624636
Site-Hard Expert Selector,near-normal |y| <= 0.5,688.0,0.47411228776636977,0.3697645373643798,-0.010016111659053929,0.2892441600561142,0.793623286485672,0.032166542879209836,0.27124176898624636
Site-Hard Expert Selector,moderate 0.5 < |y| <= 1.5,829.0,0.8200645260695308,0.6940231513056738,-0.03142021073363227,0.6598432064056396,1.2538681268692018,0.044577393083146746,0.963378217544279
Deep Context LSTM (Always TL),moderate 0.5 < |y| <= 1.5,829.0,0.8234543856702412,0.7004008348514432,-0.0019156389989956441,0.671526312828064,1.258954215049744,0.044577393083146746,0.963378217544279
Context-Aware Selective Learning,moderate 0.5 < |y| <= 1.5,829.0,0.8241089308878887,0.6983854566106462,-0.05840330579024891,0.6706297397613525,1.2447378396987918,0.044577393083146746,0.963378217544279
Deep Context LSTM (No TL),moderate 0.5 < |y| <= 1.5,829.0,0.8340416494356302,0.7040021291184627,-0.12168550070721221,0.6496347784996033,1.292731761932373,0.044577393083146746,0.963378217544279
Random Forest,moderate 0.5 < |y| <= 1.5,829.0,0.8377781848585695,0.7365432901103477,-0.042558845155057916,0.723312497138977,1.2757466793060306,0.044577393083146746,0.963378217544279
Baseline LSTM (No TL),moderate 0.5 < |y| <= 1.5,829.0,0.9668890178852184,0.9242091723891881,-0.08412401394332131,0.8869070410728455,1.3378350496292115,0.044577393083146746,0.963378217544279
Baseline LSTM (TL),moderate 0.5 < |y| <= 1.5,829.0,0.976019557710378,0.9266622411255669,-0.14098896922047088,0.9018394351005554,1.3652196168899537,0.044577393083146746,0.963378217544279
Site-Hard Expert Selector,extreme |y| > 1.5,517.0,3.8832261328041184,2.396614737851938,-0.14870154926809168,1.7124656438827515,3.774874496459961,0.34471070743391086,4.509313171303107
Deep Context LSTM (Always TL),extreme |y| > 1.5,517.0,3.8977301626745082,2.422601405725719,-0.10137196055233363,1.7390764951705933,3.769404983520508,0.34471070743391086,4.509313171303107
Context-Aware Selective Learning,extreme |y| > 1.5,517.0,3.9779427028649654,2.435885310057745,-0.18639421566773198,1.725918173789978,3.761276721954346,0.34471070743391086,4.509313171303107
Deep Context LSTM (No TL),extreme |y| > 1.5,517.0,4.060271931642199,2.4638592432499853,-0.30405664663019677,1.7123124599456787,3.8579320430755617,0.34471070743391086,4.509313171303107
Random Forest,extreme |y| > 1.5,517.0,4.231330954716987,2.6010559065198993,-0.2333917964819091,1.8323721885681152,4.063798904418946,0.34471070743391086,4.509313171303107
Baseline LSTM (TL),extreme |y| > 1.5,517.0,4.521185922244304,3.075004806370984,-0.43859138433430594,2.2062792778015137,4.3868507385253945,0.34471070743391086,4.509313171303107
Baseline LSTM (No TL),extreme |y| > 1.5,517.0,4.525626544610416,3.0874658866823297,-0.38433011772554204,2.2039647102355957,4.4084000587463406,0.34471070743391086,4.509313171303107
