model_family,target_month_of_year,n,rmse,mae,bias,median_abs_error,p90_abs_error,target_mean,target_std
Deep Context LSTM (Always TL),1,1410.0,1.655054009560733,0.733622457567893,-0.2919343134243015,0.5162948966026306,1.401811504364015,0.6293996500513097,1.9169992706684926
Site-Hard Expert Selector,1,1410.0,1.6777346375660411,0.7679227219960579,-0.35544339067811237,0.5464791655540466,1.4931157708168032,0.6293996500513097,1.9169992706684926
Context-Aware Selective Learning,1,1410.0,1.6787448213467078,0.7681261220999749,-0.4127917813322117,0.5421009063720703,1.470076751708987,0.6293996500513097,1.9169992706684926
Deep Context LSTM (No TL),1,1410.0,1.7146182010490383,0.8335604067865415,-0.5128653398061053,0.6107881665229797,1.5636865019798283,0.6293996500513097,1.9169992706684926
Random Forest,1,1410.0,1.7550057416775366,0.7445821384020836,-0.38348726419771606,0.5045223236083984,1.4560365080833435,0.6293996500513097,1.9169992706684926
Baseline LSTM (No TL),1,1410.0,1.9389906727507566,0.9317253714017835,-0.2557342637198191,0.6488489508628845,1.8299211502075199,0.6293996500513097,1.9169992706684926
Baseline LSTM (TL),1,1410.0,1.9964810298934685,1.002293326214273,-0.5573776266253586,0.7220626175403595,1.9374175786972063,0.6293996500513097,1.9169992706684926
Deep Context LSTM (No TL),2,1315.0,1.6814554647214108,0.6949685124899951,-0.06922502667844975,0.46713387966156006,1.3223146438598634,0.6070551140124983,2.006472301799078
Context-Aware Selective Learning,2,1315.0,1.6981427855942728,0.7137451303209189,-0.26606626581443127,0.4736337661743164,1.398338103294373,0.6070551140124983,2.006472301799078
Site-Hard Expert Selector,2,1315.0,1.7183795026781643,0.7529547505873918,-0.33157257673121676,0.524361789226532,1.4517259597778347,0.6070551140124983,2.006472301799078
Deep Context LSTM (Always TL),2,1315.0,1.7561365254740555,0.7932267695127104,-0.4511827860579971,0.5672389268875122,1.5531745910644539,0.6070551140124983,2.006472301799078
Random Forest,2,1315.0,1.8769933352101698,0.7881865658106799,-0.45740826391250233,0.5313827395439148,1.4964594364166268,0.6070551140124983,2.006472301799078
Baseline LSTM (No TL),2,1315.0,2.017439911371496,0.9121302665413106,-0.2558951061034837,0.6089749336242676,1.8106110811233522,0.6070551140124983,2.006472301799078
Baseline LSTM (TL),2,1315.0,2.0794650121836535,0.9914087508610333,-0.5511947113199039,0.6698689460754395,1.9795498371124287,0.6070551140124983,2.006472301799078
Deep Context LSTM (Always TL),3,1334.0,1.9800056204557415,0.7338126865892798,-0.1952801474148053,0.49785706400871277,1.3320442080497745,0.19973083958466087,2.249916432039636
Site-Hard Expert Selector,3,1334.0,1.9853953147135113,0.7521703336024839,-0.12548223820918503,0.515674889087677,1.399135851860047,0.19973083958466087,2.249916432039636
Context-Aware Selective Learning,3,1334.0,1.9911655757774598,0.7607686201367398,-0.09571590559554288,0.5092745423316956,1.3875005841255192,0.19973083958466087,2.249916432039636
Deep Context LSTM (No TL),3,1334.0,2.029135239251215,0.8434110977554294,0.028577280274105037,0.6089062094688416,1.534169626235962,0.19973083958466087,2.249916432039636
Random Forest,3,1334.0,2.0477823715127124,0.7708713679589789,0.10485657532119948,0.4851848781108856,1.5209392786026004,0.19973083958466087,2.249916432039636
Baseline LSTM (No TL),3,1334.0,2.241170747187632,0.9956820166405888,0.11538349326582684,0.6993196308612823,1.9235131978988655,0.19973083958466087,2.249916432039636
Baseline LSTM (TL),3,1334.0,2.252824965380734,0.9985691966528053,-0.13730874507250948,0.6792688369750977,1.9097806930541992,0.19973083958466087,2.249916432039636
Context-Aware Selective Learning,4,1302.0,1.839001424759164,0.8722969870256136,-0.00913778569881222,0.6012620329856873,1.6266411185264602,0.3021849674277223,2.1484827945456004
Site-Hard Expert Selector,4,1302.0,1.839712823614656,0.874181475519659,0.001211463936537321,0.6027028560638428,1.636532843112946,0.3021849674277223,2.1484827945456004
Deep Context LSTM (No TL),4,1302.0,1.8399954847155386,0.8741117799082362,-0.009625177522878035,0.6006777882575989,1.6318846702575691,0.3021849674277223,2.1484827945456004
Deep Context LSTM (Always TL),4,1302.0,1.8497746806464015,0.8777292311118599,-0.0063464706742166095,0.6081110835075378,1.642361164093018,0.3021849674277223,2.1484827945456004
Random Forest,4,1302.0,1.9268674684705174,0.8339799997810211,0.024480073290738275,0.518526703119278,1.633964061737061,0.3021849674277223,2.1484827945456004
Baseline LSTM (No TL),4,1302.0,2.127215873988932,1.0676558249745913,-0.0030770850283438527,0.713693231344223,2.1430519580841083,0.3021849674277223,2.1484827945456004
Baseline LSTM (TL),4,1302.0,2.158792513778569,1.094050238206525,-0.2328975705684559,0.7548653781414032,2.1689924955368056,0.3021849674277223,2.1484827945456004
Deep Context LSTM (No TL),5,1308.0,1.8383044122694465,0.9139952679201733,0.19352647862098085,0.6198478937149048,1.7534239411354062,0.33602171158231153,2.161143035266678
Context-Aware Selective Learning,5,1308.0,1.8402424846433154,0.9141977893541758,0.1786296585495,0.6444540321826935,1.7856943964958192,0.33602171158231153,2.161143035266678
Site-Hard Expert Selector,5,1308.0,1.8499965532267497,0.9278693937932195,0.1837435064325394,0.6408312618732452,1.8445963978767395,0.33602171158231153,2.161143035266678
Deep Context LSTM (Always TL),5,1308.0,1.8703198247095092,0.9431981602665863,0.16837900481008802,0.6705620884895325,1.8582715630531308,0.33602171158231153,2.161143035266678
Random Forest,5,1308.0,1.9508359547338174,0.8949942153961105,-0.004084733716391642,0.5869957506656647,1.7482378721237182,0.33602171158231153,2.161143035266678
Baseline LSTM (No TL),5,1308.0,2.164514946387453,1.1331048463570916,-0.05093734176254145,0.7743715643882751,2.3295154094696042,0.33602171158231153,2.161143035266678
Baseline LSTM (TL),5,1308.0,2.1788732339764976,1.1306973420872442,-0.27761288251391747,0.7757568359375,2.2869062423706055,0.33602171158231153,2.161143035266678
Site-Hard Expert Selector,6,1740.0,3.7000405232599647,1.3001042311154734,0.27031229639147547,0.822953462600708,2.327210831642151,0.40932561461444095,3.917210121857978
Deep Context LSTM (Always TL),6,1740.0,3.7020502004450018,1.3035661917757886,0.2693144320820769,0.8116289377212524,2.322603487968445,0.40932561461444095,3.917210121857978
Context-Aware Selective Learning,6,1740.0,3.7067148572427215,1.3026718030231417,0.2573050166986048,0.8018623292446136,2.3513173103332523,0.40932561461444095,3.917210121857978
Deep Context LSTM (No TL),6,1740.0,3.7306382783819503,1.3284498959137447,0.2582423950363507,0.8168373107910156,2.4173472404479988,0.40932561461444095,3.917210121857978
Random Forest,6,1740.0,3.754986773793303,1.244816299302011,-0.12872127553812046,0.6653791666030884,2.2964007854461674,0.40932561461444095,3.917210121857978
Baseline LSTM (No TL),6,1740.0,3.918849935133416,1.465406516541181,-0.13713569826521407,0.8960658609867096,2.739835309982301,0.40932561461444095,3.917210121857978
Baseline LSTM (TL),6,1740.0,3.9318168785860337,1.4726720316292738,-0.3386558036287797,0.8771131634712219,2.7333045482635505,0.40932561461444095,3.917210121857978
Random Forest,7,1385.0,1.8719199778356448,0.8528682184402263,0.18524737829873708,0.5892521739006042,1.6089690208435063,0.10117665231297224,2.0288124052161645
Deep Context LSTM (No TL),7,1385.0,1.9618331494706955,1.119266939079826,0.6586187220571919,0.8407808542251587,2.17097954750061,0.10117665231297224,2.0288124052161645
Context-Aware Selective Learning,7,1385.0,1.966715972095608,1.0965883614192802,0.5297457853217848,0.7637438774108887,2.245956707000733,0.10117665231297224,2.0288124052161645
Site-Hard Expert Selector,7,1385.0,1.9947513074101249,1.1258460225611386,0.5141531311163834,0.7644533514976501,2.3380368709564214,0.10117665231297224,2.0288124052161645
Deep Context LSTM (Always TL),7,1385.0,2.0184240254155514,1.134694315202615,0.453909761348356,0.7709910869598389,2.374862003326417,0.10117665231297224,2.0288124052161645
Baseline LSTM (TL),7,1385.0,2.0272004506322086,0.9805659026822028,-0.011459239655668555,0.6996802091598511,1.8365792989730838,0.10117665231297224,2.0288124052161645
Baseline LSTM (No TL),7,1385.0,2.056537880467084,1.0352412868546665,0.2151269031399424,0.7365823984146118,1.9480881214141852,0.10117665231297224,2.0288124052161645
Random Forest,8,1364.0,1.8419709095819032,0.864480248641474,0.0037821917398627902,0.6269457638263702,1.5653586506843569,0.24325650786285224,2.024058786406086
