model_family,signed_anomaly_regime,n,rmse,mae,bias,median_abs_error,p90_abs_error,target_mean,target_std
Deep Context LSTM (No TL),strong negative,267.0,2.6432015693658713,2.0883617653382407,2.087772966993882,1.6746312379837036,3.4421199798583983,-2.662199040923672,1.5486319084908902
Context-Aware Selective Learning,strong negative,267.0,2.7011943841524397,2.1731273493963235,2.1730004910672647,1.7537128925323486,3.4631644248962403,-2.662199040923672,1.5486319084908902
Site-Hard Expert Selector,strong negative,267.0,2.7016803572239185,2.166697358817197,2.166697358817197,1.7397271394729614,3.4917005062103272,-2.662199040923672,1.5486319084908902
Deep Context LSTM (Always TL),strong negative,267.0,2.755175385914325,2.237679577275608,2.237679577275608,1.8051996231079102,3.4917005062103272,-2.662199040923672,1.5486319084908902
Random Forest,strong negative,267.0,2.7752220655031214,2.2638934969009084,2.2638934969009084,1.847523808479309,3.6060997486114506,-2.662199040923672,1.5486319084908902
Baseline LSTM (TL),strong negative,267.0,2.9914666822586127,2.5579693446891585,2.5579693446891585,2.1168909072875977,3.867546367645264,-2.662199040923672,1.5486319084908902
Baseline LSTM (No TL),strong negative,267.0,3.045594061317737,2.6225528788477295,2.6225528788477295,2.181976795196533,3.8837086200714115,-2.662199040923672,1.5486319084908902
Deep Context LSTM (No TL),moderate negative,387.0,0.7461486478270384,0.6296341007224041,0.5869985958248454,0.5896012783050537,1.134565806388855,-0.9381031013582412,0.2917174100976745
Context-Aware Selective Learning,moderate negative,387.0,0.7800575440307504,0.6675151320852974,0.6464570627502076,0.6292873024940491,1.1603170633316042,-0.9381031013582412,0.2917174100976745
Site-Hard Expert Selector,moderate negative,387.0,0.7924147813372887,0.6817696801451749,0.6592651009559631,0.6598432064056396,1.1738970279693604,-0.9381031013582412,0.2917174100976745
Deep Context LSTM (Always TL),moderate negative,387.0,0.8202835443223508,0.7120720953596347,0.7021384068237718,0.6957442760467529,1.238907837867737,-0.9381031013582412,0.2917174100976745
Random Forest,moderate negative,387.0,0.832685396797375,0.7306654402451922,0.7223927415618601,0.7195655107498169,1.2468837022781374,-0.9381031013582412,0.2917174100976745
Baseline LSTM (TL),moderate negative,387.0,0.8939480813998041,0.8400588831852265,0.8400588831852265,0.813877284526825,1.2637398719787598,-0.9381031013582412,0.2917174100976745
Baseline LSTM (No TL),moderate negative,387.0,0.9445613308093822,0.8983859308160245,0.8983859308160245,0.860666036605835,1.3182987928390504,-0.9381031013582412,0.2917174100976745
Baseline LSTM (No TL),near-normal,686.0,0.27974473648913123,0.23665281636613278,-0.0733086049241766,0.22793923318386078,0.4493238478899002,0.0337180488351259,0.27010836051771786
Baseline LSTM (TL),near-normal,686.0,0.30652487768928244,0.25900494159978565,-0.13118925200688378,0.2468925192952156,0.48997876048088074,0.0337180488351259,0.27010836051771786
Random Forest,near-normal,686.0,0.41501602233341145,0.3255993597204023,-0.01275094667226945,0.2687627375125885,0.6374942660331726,0.0337180488351259,0.27010836051771786
Context-Aware Selective Learning,near-normal,686.0,0.4551265121713179,0.35935752886094957,-0.045378451689035135,0.2882099747657776,0.7659723460674286,0.0337180488351259,0.27010836051771786
Deep Context LSTM (Always TL),near-normal,686.0,0.46307100250225763,0.3630607511838708,0.01654492065367498,0.28696341812610626,0.7758738398551941,0.0337180488351259,0.27010836051771786
Deep Context LSTM (No TL),near-normal,686.0,0.4711551151517643,0.3705969147313571,-0.09430432681037716,0.3111552596092224,0.7776044607162476,0.0337180488351259,0.27010836051771786
Site-Hard Expert Selector,near-normal,686.0,0.47468847177016094,0.37028019165867293,-0.010607689577657132,0.28976671397686005,0.7937956750392914,0.0337180488351259,0.27010836051771786
Deep Context LSTM (Always TL),moderate positive,443.0,0.8254671210062785,0.6896620248833305,-0.6159271836011727,0.6478517651557922,1.2664544343948365,0.9040644674753228,0.27582874735344104
Random Forest,moderate positive,443.0,0.8407293376589035,0.7397863967827696,-0.7109452866135547,0.7217843532562256,1.302903985977173,0.9040644674753228,0.27582874735344104
Site-Hard Expert Selector,moderate positive,443.0,0.842675041123698,0.7039436030603154,-0.6339418935183747,0.6594747304916382,1.3000785112380984,0.9040644674753228,0.27582874735344104
Context-Aware Selective Learning,moderate positive,443.0,0.8599862222497178,0.7247336385750609,-0.6729967000791235,0.6857132911682129,1.3244324207305909,0.9040644674753228,0.27582874735344104
Deep Context LSTM (No TL),moderate positive,443.0,0.9030855128136691,0.7681319532625831,-0.7394027997220343,0.7288040518760681,1.3698899984359743,0.9040644674753228,0.27582874735344104
Baseline LSTM (No TL),moderate positive,443.0,0.9829478045896902,0.9434629926294021,-0.9434629926294021,0.8955708146095276,1.3453927278518676,0.9040644674753228,0.27582874735344104
Baseline LSTM (TL),moderate positive,443.0,1.039565380483026,0.9989648457978164,-0.9989648457978164,0.9593685269355774,1.4103225946426392,0.9040644674753228,0.27582874735344104
Deep Context LSTM (Always TL),strong positive,251.0,4.81846801660682,2.6098150594300957,-2.588966734855773,1.5765914916992188,3.9858827590942383,3.535946532549611,4.420809935392037
Site-Hard Expert Selector,strong positive,251.0,4.826562131165686,2.631795716950618,-2.610947392376296,1.615046501159668,4.12033748626709,3.535946532549611,4.420809935392037
Context-Aware Selective Learning,strong positive,251.0,4.983187029212224,2.7057555322628097,-2.695513451004408,1.6614158153533936,4.050662994384766,3.535946532549611,4.420809935392037
Deep Context LSTM (No TL),strong positive,251.0,5.150240630138212,2.853789808740654,-2.847455271211753,1.8256386518478394,4.251856327056885,3.535946532549611,4.420809935392037
Random Forest,strong positive,251.0,5.356127034174424,2.9525764909873446,-2.8857082199765394,1.8158481121063232,4.598647594451904,3.535946532549611,4.420809935392037
Baseline LSTM (No TL),strong positive,251.0,5.685785621601711,3.57553492884237,-3.57553492884237,2.246647596359253,5.393527984619141,3.535946532549611,4.420809935392037
Baseline LSTM (TL),strong positive,251.0,5.709032874211136,3.618584124690508,-3.618584124690508,2.3040173053741455,5.454314708709717,3.535946532549611,4.420809935392037
