driver,n_sites,spearman_rho_with_site_hard_rmse,p_value,abs_spearman_rho
test_target_std,496,0.826858511774459,1.456190066810325e-125,0.826858511774459
max_abs_target,496,0.685123319105577,5.4554943704798474e-70,0.685123319105577
extreme_share_abs_gt_1_5,496,0.5526915487970956,5.109773990844223e-41,0.5526915487970956
mean_abs_target,496,0.4817938914031599,3.434445829025967e-30,0.4817938914031599
sim_top3_mean,494,-0.3656479387663331,4.50560440409742e-17,0.3656479387663331
cosine_similarity,494,-0.36059453873054814,1.29201578986502e-16,0.36059453873054814
wtda_std,494,-0.30224154734163333,6.801658785259297e-12,0.30224154734163333
selector_gamma_mean,494,0.21554522485450212,1.3277768285134394e-06,0.21554522485450212
train_rows,494,-0.1845263689765352,3.6848460438958984e-05,0.1845263689765352
months_used,494,-0.1845263689765352,3.6848460438958984e-05,0.1845263689765352
max_observations,494,-0.019088911162378507,0.6721230803334783,0.019088911162378507
