model_family,split,rmse,mae,r2,n,budget_label,budget_windows_per_site,effective_train_windows_total,mean_train_windows_per_site,median_train_windows_per_site
Context-Aware Selective Learning,cal,1.5164875053950049,0.8806570768356323,0.2435572743415832,1302,full,,5493,53.85294117647059,64.0
Site-Hard Expert Selector,cal,1.5293171419673983,0.9109715819358826,0.2307039499282837,1302,full,,5493,53.85294117647059,64.0
Deep Context LSTM (Always TL),cal,1.5552534290613789,0.9456417560577391,0.2043890953063964,1302,full,,5493,53.85294117647059,64.0
Deep Context LSTM (No TL),cal,1.5824390780517394,0.9612739682197572,0.1763316392898559,1302,full,,5493,53.85294117647059,64.0
Random Forest,cal,1.60137327316891,0.977529220026002,0.1565030139262676,1302,full,,5493,53.85294117647059,64.0
Baseline LSTM (TL),cal,1.7511601689543288,1.1479140520095823,-0.0086723566055297,1302,full,,5493,53.85294117647059,64.0
Baseline LSTM (No TL),cal,1.7657565177614636,1.1602245569229126,-0.025557518005371,1302,full,,5493,53.85294117647059,64.0
Site-Hard Expert Selector,test,2.049646379628608,1.0216357707977295,0.2483836412429809,2034,full,,5493,53.85294117647059,64.0
Deep Context LSTM (Always TL),test,2.0519051514802986,1.0239311456680298,0.2467260956764221,2034,full,,5493,53.85294117647059,64.0
Context-Aware Selective Learning,test,2.0901791312371243,1.0252087116241455,0.2183625698089599,2034,full,,5493,53.85294117647059,64.0
Deep Context LSTM (No TL),test,2.132785224041476,1.0383845567703247,0.186172068119049,2034,full,,5493,53.85294117647059,64.0
Random Forest,test,2.212496896669064,1.0714898354358384,0.1242024781166344,2034,full,,5493,53.85294117647059,64.0
Baseline LSTM (No TL),test,2.3692919752768606,1.2417179346084597,-0.0043278932571411,2034,full,,5493,53.85294117647059,64.0
Baseline LSTM (TL),test,2.3697824890182577,1.247081637382507,-0.0047438144683837,2034,full,,5493,53.85294117647059,64.0
Deep Context LSTM (No TL),val,1.3652458572450576,0.9108533263206482,0.1961172819137573,1703,full,,5493,53.85294117647059,64.0
Context-Aware Selective Learning,val,1.3704496430306905,0.9188309907913208,0.1899774074554443,1703,full,,5493,53.85294117647059,64.0
Site-Hard Expert Selector,val,1.3762411238187489,0.9222007393836976,0.1831166744232177,1703,full,,5493,53.85294117647059,64.0
Deep Context LSTM (Always TL),val,1.3808728855448715,0.9314102530479432,0.1776089668273925,1703,full,,5493,53.85294117647059,64.0
Random Forest,val,1.406906943193178,0.9504793196801636,0.146307066075039,1703,full,,5493,53.85294117647059,64.0
Baseline LSTM (TL),val,1.5282054918929129,1.0677162408828735,-0.0072435140609741,1703,full,,5493,53.85294117647059,64.0
Baseline LSTM (No TL),val,1.5291337940864709,1.069728136062622,-0.0084675550460815,1703,full,,5493,53.85294117647059,64.0
Site-Hard Expert Selector,cal,1.5371637395335738,0.9330385327339172,0.222789466381073,1302,12,12.0,1080,10.588235294117649,12.0
Random Forest,cal,1.5470156290277712,0.9345502095600198,0.2127951051006521,1302,12,12.0,1080,10.588235294117649,12.0
Context-Aware Selective Learning,cal,1.556588548964241,0.9551193118095398,0.2030225396156311,1302,12,12.0,1080,10.588235294117649,12.0
Deep Context LSTM (Always TL),cal,1.55990499537287,0.957426130771637,0.1996228694915771,1302,12,12.0,1080,10.588235294117649,12.0
Deep Context LSTM (No TL),cal,1.577987891558085,0.9845682978630066,0.180958867073059,1302,12,12.0,1080,10.588235294117649,12.0
Baseline LSTM (TL),cal,1.749846792326574,1.1472537517547607,-0.007159948348999,1302,12,12.0,1080,10.588235294117649,12.0
Baseline LSTM (No TL),cal,1.7621156368089388,1.15614914894104,-0.0213326215744018,1302,12,12.0,1080,10.588235294117649,12.0
Deep Context LSTM (No TL),test,2.082635330254253,1.0708214044570925,0.2239945530891418,2034,12,12.0,1080,10.588235294117649,12.0
Context-Aware Selective Learning,test,2.109663879958456,1.1110366582870483,0.2037217020988464,2034,12,12.0,1080,10.588235294117649,12.0
Random Forest,test,2.1136382488722933,1.0280239412065637,0.2007186298621979,2034,12,12.0,1080,10.588235294117649,12.0
Site-Hard Expert Selector,test,2.133665144964453,1.1551579236984253,0.1855003833770752,2034,12,12.0,1080,10.588235294117649,12.0
Deep Context LSTM (Always TL),test,2.157944939130988,1.2041091918945312,0.1668579578399658,2034,12,12.0,1080,10.588235294117649,12.0
Baseline LSTM (No TL),test,2.368266549006584,1.2409336566925049,-0.0034587383270263,2034,12,12.0,1080,10.588235294117649,12.0
Baseline LSTM (TL),test,2.3761509565956187,1.2606899738311768,-0.0101512670516967,2034,12,12.0,1080,10.588235294117649,12.0
Random Forest,val,1.375610904589062,0.9373710599500998,0.1838647037940645,1703,12,12.0,1080,10.588235294117649,12.0
Context-Aware Selective Learning,val,1.381614899227294,0.939533531665802,0.1767249107360839,1703,12,12.0,1080,10.588235294117649,12.0
Deep Context LSTM (Always TL),val,1.3859528481580838,0.9405384063720704,0.171546995639801,1703,12,12.0,1080,10.588235294117649,12.0
Site-Hard Expert Selector,val,1.3866052285592532,0.945095717906952,0.1707668900489807,1703,12,12.0,1080,10.588235294117649,12.0
Deep Context LSTM (No TL),val,1.3867552416660955,0.9511208534240724,0.1705874800682068,1703,12,12.0,1080,10.588235294117649,12.0
Baseline LSTM (TL),val,1.5284374643098448,1.0685185194015503,-0.0075492858886718,1703,12,12.0,1080,10.588235294117649,12.0
Baseline LSTM (No TL),val,1.5313819516996985,1.0716174840927124,-0.0114350318908691,1703,12,12.0,1080,10.588235294117649,12.0
Context-Aware Selective Learning,cal,1.5536896076572495,0.9316514730453492,0.2059882283210754,1302,24,24.0,2073,20.323529411764707,24.0
Site-Hard Expert Selector,cal,1.559222560609939,0.9457593560218812,0.2003229856491089,1302,24,24.0,2073,20.323529411764707,24.0
Deep Context LSTM (Always TL),cal,1.574669028126698,0.965584635734558,0.1844004988670349,1302,24,24.0,2073,20.323529411764707,24.0
Deep Context LSTM (No TL),cal,1.575050758876008,0.9636276364326476,0.1840050220489502,1302,24,24.0,2073,20.323529411764707,24.0
