model_family,split,rmse,mae,r2,n,budget_label,budget_windows_per_site,effective_train_windows_total,mean_train_windows_per_site,median_train_windows_per_site,budget_sort,rmse_full_budget,rmse_no_tl_same_budget,rmse_always_tl_same_budget,delta_rmse_vs_full_budget,delta_rmse_vs_no_tl_same_budget,delta_rmse_vs_always_tl_same_budget
Deep Context LSTM (No TL),test,2.082635330254253,1.0708214044570925,0.2239945530891418,2034,12,12.0,1080,10.588235294117649,12.0,12.0,2.132785224041476,2.082635330254253,2.157944939130988,-0.0501498937872226,0.0,-0.0753096088767351
Context-Aware Selective Learning,test,2.109663879958456,1.1110366582870483,0.2037217020988464,2034,12,12.0,1080,10.588235294117649,12.0,12.0,2.0901791312371243,2.082635330254253,2.157944939130988,0.0194847487213318,0.027028549704203,-0.048281059172532
Random Forest,test,2.1136382488722933,1.0280239412065637,0.2007186298621979,2034,12,12.0,1080,10.588235294117649,12.0,12.0,2.212496896669064,2.082635330254253,2.157944939130988,-0.0988586477967707,0.0310029186180402,-0.0443066902586948
Deep Context LSTM (Always TL),test,2.157944939130988,1.2041091918945312,0.1668579578399658,2034,12,12.0,1080,10.588235294117649,12.0,12.0,2.0519051514802986,2.082635330254253,2.157944939130988,0.1060397876506895,0.0753096088767351,0.0
Baseline LSTM (No TL),test,2.368266549006584,1.2409336566925049,-0.0034587383270263,2034,12,12.0,1080,10.588235294117649,12.0,12.0,2.3692919752768606,2.082635330254253,2.157944939130988,-0.0010254262702766,0.2856312187523309,0.2103216098755957
Baseline LSTM (TL),test,2.3761509565956187,1.2606899738311768,-0.0101512670516967,2034,12,12.0,1080,10.588235294117649,12.0,12.0,2.3697824890182577,2.082635330254253,2.157944939130988,0.0063684675773609,0.2935156263413656,0.2182060174646305
Deep Context LSTM (No TL),test,2.1396981341929404,1.0983036756515503,0.1808878779411316,2034,24,24.0,2073,20.323529411764707,24.0,24.0,2.132785224041476,2.1396981341929404,2.1428348244912603,0.0069129101514646,0.0,-0.0031366902983198
Context-Aware Selective Learning,test,2.1403029819164936,1.102563500404358,0.1804247498512268,2034,24,24.0,2073,20.323529411764707,24.0,24.0,2.0901791312371243,2.1396981341929404,2.1428348244912603,0.0501238506793693,0.0006048477235531,-0.0025318425747666
Deep Context LSTM (Always TL),test,2.1428348244912603,1.1069073677062988,0.178484559059143,2034,24,24.0,2073,20.323529411764707,24.0,24.0,2.0519051514802986,2.1396981341929404,2.1428348244912603,0.0909296730109616,0.0031366902983198,0.0
Random Forest,test,2.1754406239539064,1.060518100308654,0.1532936047326469,2034,24,24.0,2073,20.323529411764707,24.0,24.0,2.212496896669064,2.1396981341929404,2.1428348244912603,-0.0370562727151577,0.0357424897609659,0.032605799462646
Baseline LSTM (TL),test,2.373799070601362,1.2552340030670166,-0.0081526041030883,2034,24,24.0,2073,20.323529411764707,24.0,24.0,2.3697824890182577,2.1396981341929404,2.1428348244912603,0.0040165815831043,0.2341009364084216,0.2309642461101018
Baseline LSTM (No TL),test,2.395332339329685,1.293541669845581,-0.026525855064392,2034,24,24.0,2073,20.323529411764707,24.0,24.0,2.3692919752768606,2.1396981341929404,2.1428348244912603,0.0260403640528248,0.255634205136745,0.2524975148384252
Deep Context LSTM (Always TL),test,2.114652122042659,1.0525318384170532,0.1999517083168029,2034,48,48.0,3910,38.333333333333336,48.0,48.0,2.0519051514802986,2.1532574218423672,2.114652122042659,0.0627469705623604,-0.0386052997997081,0.0
Context-Aware Selective Learning,test,2.119004711943388,1.0472755432128906,0.1966547966003418,2034,48,48.0,3910,38.333333333333336,48.0,48.0,2.0901791312371243,2.1532574218423672,2.114652122042659,0.0288255807062638,-0.0342527098989791,0.004352589900729
Deep Context LSTM (No TL),test,2.1532574218423672,1.0660463571548462,0.1704735159873962,2034,48,48.0,3910,38.333333333333336,48.0,48.0,2.132785224041476,2.1532574218423672,2.114652122042659,0.0204721978008914,0.0,0.0386052997997081
Random Forest,test,2.203899289960624,1.069703932383404,0.1309958278363268,2034,48,48.0,3910,38.333333333333336,48.0,48.0,2.212496896669064,2.1532574218423672,2.114652122042659,-0.0085976067084407,0.0506418681182561,0.0892471679179642
Baseline LSTM (No TL),test,2.3712454783427197,1.244853138923645,-0.0059846639633178,2034,48,48.0,3910,38.333333333333336,48.0,48.0,2.3692919752768606,2.1532574218423672,2.114652122042659,0.0019535030658586,0.217988056500352,0.2565933563000602
Baseline LSTM (TL),test,2.3779210648585964,1.2583519220352173,-0.0116567611694335,2034,48,48.0,3910,38.333333333333336,48.0,48.0,2.3697824890182577,2.1532574218423672,2.114652122042659,0.0081385758403387,0.2246636430162292,0.2632689428159374
