model_family,split,rmse,mae,r2,n,fold_id,train_start,train_end,test_start,test_end
Context-Aware Selective Learning,cal,1.249148507973423,0.8856422305107117,0.17004233598709106,812,1,1996-07-01,2006-06-01,2010-07-01,2012-12-01
Deep Context LSTM (No TL),cal,1.2503781700288585,0.8852282166481018,0.16840749979019165,812,1,1996-07-01,2006-06-01,2010-07-01,2012-12-01
Site-Hard Expert Selector,cal,1.2544814362199608,0.8935344219207764,0.1629406213760376,812,1,1996-07-01,2006-06-01,2010-07-01,2012-12-01
Deep Context LSTM (Always TL),cal,1.2602123799035456,0.8999349474906921,0.1552751660346985,812,1,1996-07-01,2006-06-01,2010-07-01,2012-12-01
Random Forest,cal,1.2764803806541851,0.9060337103939821,0.13332536725194533,812,1,1996-07-01,2006-06-01,2010-07-01,2012-12-01
Baseline LSTM (TL),cal,1.3983042136666202,1.010536789894104,-0.03999471664428711,812,1,1996-07-01,2006-06-01,2010-07-01,2012-12-01
Baseline LSTM (No TL),cal,1.4027404649050441,1.0146106481552124,-0.046604156494140625,812,1,1996-07-01,2006-06-01,2010-07-01,2012-12-01
Deep Context LSTM (No TL),test,1.6553607208735315,1.0407626628875732,0.1600589156150818,1571,1,1996-07-01,2006-06-01,2010-07-01,2012-12-01
Context-Aware Selective Learning,test,1.6572542564762114,1.0454329252243042,0.158136248588562,1571,1,1996-07-01,2006-06-01,2010-07-01,2012-12-01
Site-Hard Expert Selector,test,1.6590875753841898,1.0477075576782227,0.15627259016036987,1571,1,1996-07-01,2006-06-01,2010-07-01,2012-12-01
Random Forest,test,1.6644913494202782,1.040142675563121,0.15076747304395033,1571,1,1996-07-01,2006-06-01,2010-07-01,2012-12-01
Deep Context LSTM (Always TL),test,1.6684704635744783,1.0650999546051025,0.14670228958129883,1571,1,1996-07-01,2006-06-01,2010-07-01,2012-12-01
Baseline LSTM (TL),test,1.8127385344242013,1.2001261711120605,-0.007242083549499512,1571,1,1996-07-01,2006-06-01,2010-07-01,2012-12-01
Baseline LSTM (No TL),test,1.8153638904748788,1.2022043466567993,-0.010161757469177246,1571,1,1996-07-01,2006-06-01,2010-07-01,2012-12-01
Deep Context LSTM (No TL),val,0.9444636166876759,0.7014726400375366,0.14775848388671875,1512,1,1996-07-01,2006-06-01,2010-07-01,2012-12-01
Context-Aware Selective Learning,val,0.9448805839029404,0.7027093768119812,0.14700579643249512,1512,1,1996-07-01,2006-06-01,2010-07-01,2012-12-01
Site-Hard Expert Selector,val,0.9456907729264358,0.7050923109054565,0.14554238319396973,1512,1,1996-07-01,2006-06-01,2010-07-01,2012-12-01
Deep Context LSTM (Always TL),val,0.9482082435511873,0.7075132131576538,0.1409870982170105,1512,1,1996-07-01,2006-06-01,2010-07-01,2012-12-01
Random Forest,val,0.9723529631644209,0.7269232922494686,0.0966831466532897,1512,1,1996-07-01,2006-06-01,2010-07-01,2012-12-01
Baseline LSTM (No TL),val,1.0233165873380254,0.7725821733474731,-0.0004887580871582031,1512,1,1996-07-01,2006-06-01,2010-07-01,2012-12-01
Baseline LSTM (TL),val,1.0241661680968903,0.7724989056587219,-0.0021507740020751953,1512,1,1996-07-01,2006-06-01,2010-07-01,2012-12-01
Context-Aware Selective Learning,cal,1.4892502881469756,0.9748043417930603,0.23280435800552368,907,2,1998-05-01,2008-04-01,2012-05-01,2014-10-01
Site-Hard Expert Selector,cal,1.519400387500484,1.0212944746017456,0.20142585039138794,907,2,1998-05-01,2008-04-01,2012-05-01,2014-10-01
Deep Context LSTM (Always TL),cal,1.5221330584487942,1.027370810508728,0.1985507607460022,907,2,1998-05-01,2008-04-01,2012-05-01,2014-10-01
Random Forest,cal,1.528499914239274,1.0073278177046057,0.19183210095981096,907,2,1998-05-01,2008-04-01,2012-05-01,2014-10-01
Deep Context LSTM (No TL),cal,1.5331189174974649,1.0324186086654663,0.18694031238555908,907,2,1998-05-01,2008-04-01,2012-05-01,2014-10-01
Baseline LSTM (No TL),cal,1.7010921980793918,1.1851109266281128,-0.0009824037551879883,907,2,1998-05-01,2008-04-01,2012-05-01,2014-10-01
Baseline LSTM (TL),cal,1.7066605294137118,1.1961396932601929,-0.007546424865722656,907,2,1998-05-01,2008-04-01,2012-05-01,2014-10-01
Context-Aware Selective Learning,test,1.8426223151136494,0.9727613925933838,0.16612887382507324,1730,2,1998-05-01,2008-04-01,2012-05-01,2014-10-01
Site-Hard Expert Selector,test,1.8476050210508348,0.9911563396453857,0.16161292791366577,1730,2,1998-05-01,2008-04-01,2012-05-01,2014-10-01
Deep Context LSTM (Always TL),test,1.8498523395479716,0.9933035373687744,0.15957212448120117,1730,2,1998-05-01,2008-04-01,2012-05-01,2014-10-01
Deep Context LSTM (No TL),test,1.8511455726405115,0.980684757232666,0.1583966612815857,1730,2,1998-05-01,2008-04-01,2012-05-01,2014-10-01
Random Forest,test,1.8925649363096062,1.013391295650355,0.12031366090852469,1730,2,1998-05-01,2008-04-01,2012-05-01,2014-10-01
Baseline LSTM (TL),test,2.021023049904035,1.1647746562957764,-0.003156900405883789,1730,2,1998-05-01,2008-04-01,2012-05-01,2014-10-01
Baseline LSTM (No TL),test,2.034827031838213,1.1783831119537354,-0.016907095909118652,1730,2,1998-05-01,2008-04-01,2012-05-01,2014-10-01
Context-Aware Selective Learning,val,1.2500807736048496,0.8231194615364075,0.21021032333374023,1448,2,1998-05-01,2008-04-01,2012-05-01,2014-10-01
Deep Context LSTM (No TL),val,1.2545496160578906,0.8272975087165833,0.2045535445213318,1448,2,1998-05-01,2008-04-01,2012-05-01,2014-10-01
Site-Hard Expert Selector,val,1.262390147047186,0.8363581895828247,0.1945798397064209,1448,2,1998-05-01,2008-04-01,2012-05-01,2014-10-01
Deep Context LSTM (Always TL),val,1.2624485515271466,0.8374451398849487,0.19450539350509644,1448,2,1998-05-01,2008-04-01,2012-05-01,2014-10-01
Random Forest,val,1.301023180588995,0.8732131587880436,0.14452889392081203,1448,2,1998-05-01,2008-04-01,2012-05-01,2014-10-01
Baseline LSTM (TL),val,1.4116568994615815,0.9761887192726135,-0.00714874267578125,1448,2,1998-05-01,2008-04-01,2012-05-01,2014-10-01
Baseline LSTM (No TL),val,1.4133853028447287,0.9794854521751404,-0.009616494178771973,1448,2,1998-05-01,2008-04-01,2012-05-01,2014-10-01
Context-Aware Selective Learning,cal,1.4297487839868548,0.8346861004829407,0.3029593825340271,991,3,2000-04-01,2010-03-01,2014-04-01,2016-09-01
Site-Hard Expert Selector,cal,1.445996097047638,0.8668676018714905,0.28702735900878906,991,3,2000-04-01,2010-03-01,2014-04-01,2016-09-01
Deep Context LSTM (Always TL),cal,1.4499440807214734,0.8701094388961792,0.28312885761260986,991,3,2000-04-01,2010-03-01,2014-04-01,2016-09-01
