model_family,split,n_folds,mean_rmse,std_rmse,min_rmse,max_rmse,mean_mae,std_mae,mean_r2,std_r2
Context-Aware Selective Learning,cal,3,1.3893825267024178,0.12503716349946628,1.249148507973423,1.4892502881469756,0.8983775575955709,0.07092194162548705,0.23526869217554727,0.0664927817350594
Context-Aware Selective Learning,test,3,1.9080071007000796,0.2890459825482927,1.6572542564762114,2.2241447305103774,1.0427465836207073,0.06868143318284628,0.17343811194101968,0.019985418353231435
Context-Aware Selective Learning,val,3,1.2642807774668583,0.3267317060532744,0.9448805839029404,1.597880974892785,0.8329537709554037,0.13542961094100447,0.19245892763137817,0.03967672702406239
Site-Hard Expert Selector,cal,3,1.406625973589361,0.13677725561193654,1.2544814362199608,1.519400387500484,0.9272321661313375,0.08254434098696234,0.21713127692540488,0.06351672953676359
Site-Hard Expert Selector,test,3,1.9106308772940512,0.2882707464798003,1.6590875753841898,2.2252000354471293,1.0513453880945842,0.06208794500173527,0.1710572044054667,0.021152048638021285
Site-Hard Expert Selector,val,3,1.2715512135429499,0.3305362023484798,0.9456907729264358,1.6065727206552276,0.8401792844136556,0.13703748141839092,0.18392529090245566,0.03431930143455819
Deep Context LSTM (Always TL),cal,3,1.4107631730246044,0.13528476672694453,1.2602123799035456,1.5221330584487942,0.9324717322985331,0.08352704067898525,0.21231826146443686,0.06502922165879732
Deep Context LSTM (Always TL),test,3,1.914712338287343,0.28427649917296083,1.6684704635744783,2.2258142117395794,1.0581992069880168,0.06173523803728624,0.16703875859578451,0.02492323354406328
Deep Context LSTM (Always TL),val,3,1.273372670778102,0.33076181172319735,0.9482082435511873,1.6094612172559717,0.8421838879585266,0.13710148352737597,0.18143628040949503,0.035753365162572624
Deep Context LSTM (No TL),cal,3,1.424012424624199,0.15201465914319626,1.2503781700288585,1.5331189174974649,0.9404463569323221,0.08018354823064573,0.19993462165196738,0.03965456667207417
Deep Context LSTM (No TL),test,3,1.9157932922274055,0.29806177835132625,1.6553607208735315,2.240873583168173,1.0428584814071655,0.06324768197768792,0.16745519638061523,0.014274505112956175
Deep Context LSTM (No TL),val,3,1.2648067811330865,0.32559294396639865,0.9444636166876759,1.5954071106536931,0.8339194059371948,0.13587878491901945,0.19162851572036743,0.03904631400839232
Random Forest,cal,3,1.4417981598483138,0.14322646698149305,1.2764803806541851,1.528499914239274,0.9451527491785603,0.054440880086049255,0.1789700984693677,0.04076505794649139
Random Forest,test,3,1.9381638329223836,0.2990903724286143,1.6644913494202782,2.2574352130372657,1.0416105227177006,0.028981043178306336,0.14762782100283803,0.02588752205418011
Random Forest,val,3,1.304747864185342,0.3342728067431497,0.9723529631644209,1.6408674488026107,0.8683706806678898,0.1390893863713792,0.1396165280526556,0.04070014864119368
Baseline LSTM (TL),cal,3,1.6149066728771535,0.1883116686706192,1.3983042136666202,1.7397552755511285,1.1098450422286987,0.09348328619939222,-0.026541590690612793,0.01691917741166286
Baseline LSTM (TL),test,3,2.1092802477509873,0.34913931514158947,1.8127385344242013,2.4940791589247255,1.2198052008946736,0.06707140059780564,-0.007111787796020508,0.0038913758774519087
Baseline LSTM (TL),val,3,1.4142983040701036,0.391459521993296,1.0241661680968903,1.8070718446518386,0.9772781531016032,0.20532613201679872,-0.0022314786911010742,0.004877412437053253
Baseline LSTM (No TL),cal,3,1.6162370527836518,0.18618513564295414,1.4027404649050441,1.7448784953665195,1.1086965401967366,0.08661291949086619,-0.02858591079711914,0.0242743487457686
Baseline LSTM (No TL),test,3,2.1116594197561565,0.3412614094053671,1.8153638904748788,2.484787336955378,1.219704548517863,0.05231492775453831,-0.01016223430633545,0.006744623196846043
Baseline LSTM (No TL),val,3,1.418419200970174,0.3976434605716703,1.0233165873380254,1.8185557127277678,0.9819112420082092,0.21055244422520572,-0.006739060084025065,0.005418585604509764
