model_family,split,rmse,mae,r2,n,seed
Context-Aware Selective Learning,cal,1.5535039949737148,0.9222747683525085,0.2061779499053955,1302,11
Deep Context LSTM (No TL),cal,1.5846760811730014,0.9738814830780029,0.1740012764930725,1302,11
Site-Hard Expert Selector,cal,1.5891571436841567,0.9750562310218811,0.16932320594787598,1302,11
Random Forest,cal,1.6016513161911294,0.9779794469225034,0.15621007933630304,1302,11
Deep Context LSTM (Always TL),cal,1.6086700525107218,1.0007961988449097,0.14879858493804932,1302,11
Baseline LSTM (TL),cal,1.752600848878287,1.1493149995803833,-0.010332703590393066,1302,11
Baseline LSTM (No TL),cal,1.7665743005946521,1.1611239910125732,-0.02650761604309082,1302,11
Context-Aware Selective Learning,test,2.159405596857219,1.036003828048706,0.16572964191436768,2034,11
Deep Context LSTM (Always TL),test,2.163653834347462,1.0429445505142212,0.16244393587112427,2034,11
Deep Context LSTM (No TL),test,2.1719561225505712,1.0774023532867432,0.1560039520263672,2034,11
Site-Hard Expert Selector,test,2.1738015830449497,1.0533719062805176,0.1545690894126892,2034,11
Random Forest,test,2.2073936940762304,1.0655898940046227,0.12823793489710134,2034,11
Baseline LSTM (No TL),test,2.3697431510458493,1.2424414157867432,-0.00471043586730957,2034,11
Baseline LSTM (TL),test,2.3719914102447035,1.25025475025177,-0.00661778450012207,2034,11
Context-Aware Selective Learning,val,1.3504708352073382,0.9015706181526184,0.2134227752685547,1703,11
Deep Context LSTM (Always TL),val,1.3533384088756175,0.9052870273590088,0.21007877588272095,1703,11
Deep Context LSTM (No TL),val,1.3533705156054165,0.9043148159980774,0.21004128456115723,1703,11
Site-Hard Expert Selector,val,1.353833314017368,0.9059116840362549,0.2095009684562683,1703,11
Random Forest,val,1.3967307906772528,0.9392649730413767,0.1586119194999993,1703,11
Baseline LSTM (TL),val,1.5265157264876479,1.0670192241668701,-0.005017280578613281,1703,11
Baseline LSTM (No TL),val,1.528696773098387,1.0693631172180176,-0.007891297340393066,1703,11
Context-Aware Selective Learning,cal,1.5483761833976621,0.9091916680335999,0.21140986680984497,1302,23
