model_family,split,n_seeds,mean_rmse,std_rmse,mean_mae,std_mae,mean_r2,std_r2
Context-Aware Selective Learning,cal,5,1.1163348729741487,0.008737560974973711,0.7395926594734192,0.0028292447747833792,0.2075207233428955,0.012384713989898431
Context-Aware Selective Learning,test,5,1.2755429213505758,0.008619959160681265,0.8771455526351929,0.005837626680239483,0.21159493923187256,0.01064095275392775
Context-Aware Selective Learning,val,5,1.2311489210025237,0.005596332185738019,0.8637165188789367,0.005466756299692117,0.18204535245895387,0.007433947663041111
Random Forest,cal,5,1.2390312138348791,0.004763286180997894,0.8628221061802916,0.003941882910799453,0.023780997783022072,0.0075101653266703115
Random Forest,test,5,1.293556615041529,0.003960543237191879,0.8843876749253932,0.004921800116900744,0.18919291568391186,0.00496390876732038
Random Forest,val,5,1.2652837476769734,0.002649463048146755,0.8866956522028394,0.001467063532367986,0.1360706258877119,0.003620935543125724
Site-Hard Expert Selector,cal,5,1.1699863165859965,0.004721447295863961,0.8108284046338083,0.006519656385961268,0.12954795356229304,0.007035587202294201
Site-Hard Expert Selector,test,5,1.293665799177075,0.007576520776872432,0.8944139314328469,0.009542831981653226,0.1890398650700112,0.009523850535170807
Site-Hard Expert Selector,val,5,1.2408516895755335,0.0027644656943279565,0.8768650380028505,0.005204176157978899,0.16911229022455826,0.0037000938124025756
Deep Context LSTM (No TL),cal,5,1.2305811776113789,0.0132925341710676,0.8749620199203492,0.018030164993940327,0.036972451210021975,0.02081272448985876
Deep Context LSTM (No TL),test,5,1.310210447732155,0.028109024692038586,0.9247172355651856,0.03158403745821442,0.16788110733032227,0.036138563536001735
Deep Context LSTM (No TL),val,5,1.2457944154041674,0.003310168799527895,0.8837592124938964,0.004582631349885471,0.162478244304657,0.0044531906161361014
Deep Context LSTM (Always TL),cal,5,1.230774539548917,0.011724757135195375,0.8785056591033935,0.012911699226361581,0.03668978214263916,0.018393746926550398
Deep Context LSTM (Always TL),test,5,1.3193010483378558,0.014158334848746327,0.9325610518455505,0.017417594200787645,0.15652694702148437,0.01799488921120787
Deep Context LSTM (Always TL),val,5,1.2386678043009596,0.006182532381140792,0.87794029712677,0.006513011942228978,0.17202119827270507,0.008240102451280708
Baseline LSTM (No TL),cal,5,1.2661772841092174,0.0012583381848602548,0.9044487476348877,0.0015978927870117562,-0.019452571868896484,0.00202570169606988
Baseline LSTM (No TL),test,5,1.4370891863075415,0.00046960992602239284,0.9699952125549316,0.0005428133925370647,-0.0007160663604736328,0.0006541461329198992
Baseline LSTM (No TL),val,5,1.3778969808102546,0.0013863728926609203,0.9738283753395081,0.000959179312745358,-0.024553728103637696,0.002062745967952384
Baseline LSTM (TL),cal,5,1.2629761756565911,0.0006893850983860461,0.8983978986740112,0.0012097246067754692,-0.014303803443908691,0.001107069654849779
Baseline LSTM (TL),test,5,1.4421646242410127,0.0038209175031790614,0.9742860913276672,0.0032044219801414964,-0.007802629470825195,0.00534173216360097
Baseline LSTM (TL),val,5,1.379864253405298,0.000995538591262227,0.9758338332176208,0.0007983468850071348,-0.02748095989227295,0.0014826495478836427
