feature,importance,importance_std
context_last_wtda,0.04806467179293635,0.0022857596184975132
wtda_mean,0.01184446133336835,0.0008187091769809097
months_used,0.011817317733022494,0.001645713804809066
context_last_pumping_m3_month_log1p,0.010898936843888391,0.0006155110343704385
wtda_std,0.00866467696104682,0.0010846238550654265
pumping_log_std,0.007867041116200582,0.0006662743356788592
shared_last_tsmp_wtda_lag1,0.007732382678395029,0.0003952040539297535
sim_mean,0.007216137324032061,0.000396198815114202
month_sin,0.007133059165908879,0.0004810209681879518
sm_a_std,0.007044951272913737,0.00063195657761096
shared_last_tsmp_wtda_lag3,0.0065496768689627186,0.0012722751086755764
shared_last_sm_a_lag3,0.006511021049932935,0.0003479059811654132
sim_top10_std,0.006378870328919395,0.0006136039390544719
shared_last_tsmp_wtda,0.005972653340051299,0.00032144232909687157
sm_a_mean,0.005653618425543686,0.0004949436494514112
shared_last_sm_a,0.005634460324214132,0.0003584078159313095
shared_last_pr_a_lag1,0.0052393688382047585,0.00045276370745011044
shared_last_pr_a,0.00512860086598343,0.0003122968432400089
sim_top3_std,0.004986309138367791,0.00047770639644356753
shared_last_sm_a_lag2,0.00498374616847186,0.00031046706171879705
tsmp_wtda_std,0.004954646891591634,0.0005169931439999106
context_last_lon_norm,0.0045818148407068705,0.0004229359996301438
shared_last_pr_a_lag2,0.004560673637340376,0.00030862114146025104
tsmp_wtda_mean,0.004410338301088633,0.00045805264832890426
pr_a_std,0.004393818316501779,0.00028977408519922254
month_cos,0.004383378956714928,0.0005575210015245713
shared_last_sm_a_lag1,0.004149242919419725,0.0005718869193873063
sim_q90,0.0040768516303075625,0.00033619200069940003
sim_top5_std,0.0039617560508482235,0.0003613476918315103
pr_a_mean,0.003683760074889379,0.00046365682534297556
pumping_log_mean,0.003677196108219991,0.0004782256376248862
cosine_similarity,0.0035461151345154446,0.00035456071786195425
shared_last_tsmp_wtda_lag2,0.0033790132385423943,0.0002802453767180792
lon_norm,0.00317033468067774,0.00040814186605038304
sim_q95,0.0030709478864805566,0.00032423591872234167
sim_min,0.00292168168946424,0.0001876936652777179
shared_last_pr_a_lag3,0.0018864597454541082,0.00021093630519324343
lat_norm,0.0017231849593794986,0.00012885157512594
sim_std,0.00087719447918852,0.00011483626313912415
context_last_lat_norm,0.0006989917561638376,0.00033598484880416937
sim_top3_mean,0.0005645077203654345,0.000170429252417739
sim_top5_mean,0.00039399845674086865,6.787479439882651e-05
sim_top10_mean,0.0002561166920000014,7.813433379591609e-05
shared_last_month_sin,0.0001910993316255119,4.795792803852811e-05
sim_max,0.0,0.0
train_rows,0.0,0.0
shared_last_month_cos,0.0,0.0
