site_id,cell_id,cosine_similarity,months_used,selector_rmse_no_tl,selector_rmse_always_tl,calibration_margin_no_tl_vs_always_tl,selected_expert,selected_parent,use_transfer,selected_selector_rmse,selector_policy,selector_margin_threshold,selector_overlap_threshold_months
9698,67575,0.33242345,128,0.6452667,0.62196,-0.023306727,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.62196,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
9799,49528,0.3005144,126,1.0115982,1.0961158,0.0845176,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,1.0115982,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
9802,36514,0.45781997,141,0.46897942,0.64474297,0.17576355,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.46897942,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
9804,96894,0.21820317,108,0.8401486,0.9834541,0.14330548,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.8401486,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
9822,55441,0.29423472,141,1.415898,1.4516135,0.03571558,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,1.415898,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
9840,67575,0.34132978,123,1.6039327,1.6372687,0.033335924,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,1.6039327,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
9844,67575,0.25681362,140,1.3830901,1.3862393,0.0031491518,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.3862393,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
9853,36514,0.54366064,137,0.80638564,0.8485381,0.042152464,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.80638564,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
9896,67575,0.32944596,132,1.0915161,1.1120332,0.02051711,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,1.0915161,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
9913,75352,0.32448006,138,1.9518088,1.9855859,0.033777118,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,1.9518088,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
9963,55441,0.25342077,139,2.8942428,2.9460309,0.05178809,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,2.8942428,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
9966,55204,0.2610928,134,1.0674795,1.1553007,0.087821245,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,1.0674795,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
10041,67575,0.31899664,138,0.7831154,0.7653204,-0.017794967,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.7653204,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
10046,81796,0.20230906,142,1.0802089,1.084835,0.004626155,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.084835,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
10047,85842,0.16878636,135,1.1529735,1.1088861,-0.04408741,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.1088861,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
10063,67575,0.40496597,137,1.4042006,1.4429498,0.038749218,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,1.4042006,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
10094,26769,0.1699052,139,1.0895001,1.0360329,-0.053467155,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.0360329,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
10096,36514,0.40444666,139,0.3291747,0.34277463,0.013599932,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.34277463,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
