model_family,split,rmse,mae,r2,n
Context-Aware Selective Learning,cal,2.05814387058257,0.88625568151474,0.14509952068328857,9359
Site-Hard Expert Selector,cal,2.0623967693966465,0.8994133472442627,0.14156275987625122,9359
Deep Context LSTM (No TL),cal,2.0825225651172214,0.9370468258857727,0.12472695112228394,9359
Deep Context LSTM (Always TL),cal,2.092933153830138,0.9082334041595459,0.11595410108566284,9359
Random Forest,cal,2.1013226070284343,0.8939814240115638,0.10885256065932924,9359
Context-Aware Selective Learning,test,2.0956903832324674,0.9186467528343201,0.18655478954315186,16547
Site-Hard Expert Selector,test,2.098855810446066,0.9269476532936096,0.184095561504364,16547
Deep Context LSTM (No TL),test,2.106178857524406,0.9331862926483154,0.1783921718597412,16547
Deep Context LSTM (Always TL),test,2.109467228886501,0.9257134795188904,0.1758245825767517,16547
Random Forest,test,2.153770552930071,0.8656902553463567,0.14084213142185786,16547
Deep Context LSTM (No TL),val,1.58666471899271,0.7678430080413818,0.10354512929916382,14564
Context-Aware Selective Learning,val,1.590164489634786,0.7704497575759888,0.09958606958389282,14564
Site-Hard Expert Selector,val,1.592726060640999,0.7718935608863831,0.09668278694152832,14564
Deep Context LSTM (Always TL),val,1.5948816657340763,0.7743934392929077,0.09423601627349854,14564
Random Forest,val,1.6092267435958878,0.7960317510657771,0.07786910152846005,14564
