analysis_unit,subset_label,n,mean_always_tl_delta,mean_selective_delta_vs_no_tl,mean_selective_delta_vs_always_tl,always_tl_help_rate,always_tl_harm_rate,selective_partial_rescue_rate,selective_full_rescue_rate,source_filter_label,tau
site,all_sites,496,-0.035331196301887115,-0.037161638900156946,-0.0018304425982698317,0.7116935483870968,0.28830645161290325,0.2842741935483871,0.13709677419354838,all,
site,always_tl_harmed_sites,143,0.040185935639001275,0.00501247010864578,-0.0351734655303555,0.0,1.0,0.986013986013986,0.4755244755244755,all,
site,always_tl_helped_sites,353,-0.06592312227227533,-0.05424633461760394,0.011676787654671386,1.0,0.0,0.0,0.0,all,
observation,all_observations,16547,-0.03644046187400818,-0.037127718329429626,-0.0006872550584375858,0.506194476340122,0.4938055236598779,0.4931407505892307,0.03063999516528676,all,
observation,always_tl_harmed_observations,8171,0.22362250089645386,0.11161823570728302,-0.11200427263975143,0.0,1.0,0.9986537755476685,0.06204870884836617,all,
observation,always_tl_helped_observations,8376,-0.29013848304748535,-0.18223315477371216,0.1079052984714508,1.0,0.0,0.0,0.0,all,
site,all_sites,496,-0.010541629707140307,-0.021253512331074285,-0.010711882623933976,0.5826612903225806,0.4173387096774194,0.41330645161290325,0.16129032258064516,maxsim0.40,0.4
site,always_tl_harmed_sites,207,0.053196340655359095,0.014652571960347862,-0.03854376869501123,0.0,1.0,0.9903381642512077,0.3864734299516908,maxsim0.40,0.4
site,always_tl_helped_sites,289,-0.05619477802906894,-0.04697171111420364,0.009223066914865302,1.0,0.0,0.0,0.0,maxsim0.40,0.4
observation,all_observations,16547,-0.018030311912298203,-0.02391090802848339,-0.005880596581846476,0.5415483169154529,0.45845168308454703,0.45627606212606514,0.031304768235934005,maxsim0.40,0.4
observation,always_tl_harmed_observations,7586,0.28065407276153564,0.14163710176944733,-0.13901694118976593,0.0,1.0,0.9952544160295281,0.06828368046401266,maxsim0.40,0.4
observation,always_tl_helped_observations,8961,-0.2708837389945984,-0.16405680775642395,0.10682696104049683,1.0,0.0,0.0,0.0,maxsim0.40,0.4
site,all_sites,496,-0.006309025049690277,-0.03203160772400518,-0.0257225826743149,0.5221774193548387,0.4778225806451613,0.4778225806451613,0.23790322580645162,maxsim0.50,0.5
site,always_tl_harmed_sites,237,0.07769330443209234,0.007202400059639653,-0.07049090437245269,0.0,1.0,1.0,0.4978902953586498,maxsim0.50,0.5
site,always_tl_helped_sites,259,-0.08317602152529831,-0.06793299708587322,0.015243024439425082,1.0,0.0,0.0,0.0,maxsim0.50,0.5
observation,all_observations,16547,0.001403561793267727,-0.026097720488905907,-0.027501283213496208,0.5105457182570858,0.4894542817429141,0.48921254608086057,0.04973711246751677,maxsim0.50,0.5
observation,always_tl_harmed_observations,8099,0.35429805517196655,0.1321728527545929,-0.22212517261505127,0.0,1.0,0.9995061118656624,0.10161748363995556,maxsim0.50,0.5
observation,always_tl_helped_observations,8448,-0.3369123339653015,-0.17782987654209137,0.15908239781856537,1.0,0.0,0.0,0.0,maxsim0.50,0.5
site,all_sites,496,-0.0169302205284757,-0.019587996325665904,-0.0026577757971902047,0.5866935483870968,0.41330645161290325,0.40524193548387094,0.10685483870967742,maxsim0.60,0.6
site,always_tl_harmed_sites,205,0.05837840321587353,0.023183411359786986,-0.035194991856086544,0.0,1.0,0.9804878048780488,0.25853658536585367,maxsim0.60,0.6
site,always_tl_helped_sites,291,-0.06998268742741588,-0.049719056722634436,0.020263630704781443,1.0,0.0,0.0,0.0,maxsim0.60,0.6
observation,all_observations,16547,-0.007472820580005646,-0.014539575204253197,-0.007066756021231413,0.47718619689369673,0.5228138031063032,0.5217864265425757,0.023387925303680425,maxsim0.60,0.6
observation,always_tl_harmed_observations,8651,0.1988295316696167,0.10565979033708572,-0.09316971898078918,0.0,1.0,0.9980349092590451,0.0447347127499711,maxsim0.60,0.6
observation,always_tl_helped_observations,7896,-0.2335013747215271,-0.14623215794563293,0.08726920187473297,1.0,0.0,0.0,0.0,maxsim0.60,0.6
