site_id,cosine_similarity,months_used,train_rows,cohort_key,cohort_label
9687,0.5164027169479909,15,7,all_wells,All wells
9941,0.3142923106641062,80,72,all_wells,All wells
10385,0.480607508953269,102,94,all_wells,All wells
18022,0.6689914496754387,7,0,all_wells,All wells
18027,0.6327108188338818,7,0,all_wells,All wells
18055,0.6970632293579688,7,0,all_wells,All wells
18086,0.7059975008578142,7,0,all_wells,All wells
29249,0.2313194557414356,75,67,all_wells,All wells
29263,0.2044805100845467,68,60,all_wells,All wells
29357,0.2864358033742457,75,67,all_wells,All wells
29366,0.3377721494601169,72,64,all_wells,All wells
29373,0.2921897345761352,71,63,all_wells,All wells
29419,0.2448325425026823,75,67,all_wells,All wells
29465,0.2725819736766368,33,25,all_wells,All wells
29476,0.2326240328680085,71,63,all_wells,All wells
29532,0.4024784395073418,68,60,all_wells,All wells
29570,0.3421321400034778,72,64,all_wells,All wells
29599,0.2153524076743459,74,66,all_wells,All wells
29680,0.4012531771337347,75,67,all_wells,All wells
29708,0.1682476996924483,71,63,all_wells,All wells
29740,0.3359787396613567,41,33,all_wells,All wells
29756,0.2840965925423487,76,68,all_wells,All wells
29794,0.2662051569624913,68,60,all_wells,All wells
29812,0.1740840862648924,86,78,all_wells,All wells
29828,0.42747758400553,17,9,all_wells,All wells
29829,0.2286451568028934,71,63,all_wells,All wells
29848,0.2808173153693233,83,75,all_wells,All wells
29861,0.3355513103483594,41,33,all_wells,All wells
29908,0.2417439183507923,71,63,all_wells,All wells
29931,0.2090048738031979,87,79,all_wells,All wells
29961,0.2578958558557591,72,64,all_wells,All wells
29971,0.7598189715424323,5,0,all_wells,All wells
29982,0.3856237133699691,77,69,all_wells,All wells
29997,0.9618871030219815,2,0,all_wells,All wells
30035,0.2393992352931255,75,67,all_wells,All wells
30066,0.2394052771324135,130,122,all_wells,All wells
30104,0.2683060801742258,78,70,all_wells,All wells
30225,0.2364083055262628,73,65,all_wells,All wells
30247,0.4535767109363982,14,6,all_wells,All wells
30249,0.3529165904247521,60,52,all_wells,All wells
30265,0.3071128565708469,78,70,all_wells,All wells
30341,0.2239436793913754,73,65,all_wells,All wells
30380,0.4560732402212433,16,8,all_wells,All wells
30385,0.40068251666973,73,65,all_wells,All wells
30425,0.2203401323365955,90,82,all_wells,All wells
30427,0.3315279257061451,76,68,all_wells,All wells
30474,0.2856997614146833,73,65,all_wells,All wells
30578,0.2574000183906373,87,79,all_wells,All wells
