cohort_key,cohort_label,split,model_family,n_wells,n_observations,rmse,mae,r2,rank_rmse
all_wells,All wells,test,Site-Hard Expert Selector,96,2011,2.0528762340545654,1.0191420316696167,0.24924731254577637,1.0
all_wells,All wells,test,Deep Context LSTM (Always TL),96,2011,2.0591347217559814,1.0239266157150269,0.24466288089752197,2.0
all_wells,All wells,test,Context-Aware Selective Learning,96,2011,2.097640037536621,1.0251665115356445,0.2161494493484497,3.0
all_wells,All wells,test,Deep Context LSTM (No TL),96,2011,2.141087055206299,1.0406643152236938,0.18334251642227173,4.0
all_wells,All wells,test,Random Forest,96,2011,2.2201452255249023,1.071979284286499,0.12191992998123169,5.0
all_wells,All wells,test,Baseline LSTM (No TL),96,2011,2.374569892883301,1.2382805347442627,-0.004479885101318359,6.0
all_wells,All wells,test,Baseline LSTM (TL),96,2011,2.375262498855591,1.2441357374191284,-0.00506591796875,7.0
high_overlap_q75,High overlap,test,Deep Context LSTM (No TL),26,563,1.265992522239685,0.9068166613578796,0.39866989850997925,1.0
high_overlap_q75,High overlap,test,Site-Hard Expert Selector,26,563,1.2690761089324951,0.9052410125732422,0.3957371115684509,2.0
high_overlap_q75,High overlap,test,Context-Aware Selective Learning,26,563,1.2756075859069824,0.9079320430755615,0.3895012140274048,3.0
high_overlap_q75,High overlap,test,Deep Context LSTM (Always TL),26,563,1.2856440544128418,0.9112025499343872,0.3798567056655884,4.0
high_overlap_q75,High overlap,test,Random Forest,26,563,1.3376816511154175,0.9648658633232117,0.32863903045654297,5.0
high_overlap_q75,High overlap,test,Baseline LSTM (TL),26,563,1.6358388662338257,1.263525128364563,-0.003995180130004883,6.0
high_overlap_q75,High overlap,test,Baseline LSTM (No TL),26,563,1.6385496854782104,1.2667323350906372,-0.007325530052185059,7.0
high_similarity_q75,High similarity,test,Site-Hard Expert Selector,24,587,2.9564061164855957,1.1360172033309937,0.21463394165039062,1.0
high_similarity_q75,High similarity,test,Deep Context LSTM (Always TL),24,587,2.9572770595550537,1.1363505125045776,0.2141711711883545,2.0
high_similarity_q75,High similarity,test,Context-Aware Selective Learning,24,587,3.056230068206787,1.150041103363037,0.1607024073600769,3.0
high_similarity_q75,High similarity,test,Deep Context LSTM (No TL),24,587,3.1627743244171143,1.2022603750228882,0.10116422176361084,4.0
high_similarity_q75,High similarity,test,Random Forest,24,587,3.307685613632202,1.2467851638793945,0.016912102699279785,5.0
high_similarity_q75,High similarity,test,Baseline LSTM (No TL),24,587,3.4810118675231934,1.4486982822418213,-0.08881711959838867,6.0
high_similarity_q75,High similarity,test,Baseline LSTM (TL),24,587,3.489203929901123,1.473806619644165,-0.0939478874206543,7.0
history_rich_q75,History-rich,test,Deep Context LSTM (No TL),26,563,1.265992522239685,0.9068166613578796,0.39866989850997925,1.0
history_rich_q75,History-rich,test,Site-Hard Expert Selector,26,563,1.2690761089324951,0.9052410125732422,0.3957371115684509,2.0
history_rich_q75,History-rich,test,Context-Aware Selective Learning,26,563,1.2756075859069824,0.9079320430755615,0.3895012140274048,3.0
history_rich_q75,History-rich,test,Deep Context LSTM (Always TL),26,563,1.2856440544128418,0.9112025499343872,0.3798567056655884,4.0
history_rich_q75,History-rich,test,Random Forest,26,563,1.3376816511154175,0.9648658633232117,0.32863903045654297,5.0
history_rich_q75,History-rich,test,Baseline LSTM (TL),26,563,1.6358388662338257,1.263525128364563,-0.003995180130004883,6.0
history_rich_q75,History-rich,test,Baseline LSTM (No TL),26,563,1.6385496854782104,1.2667323350906372,-0.007325530052185059,7.0
transfer_ready_q75,Transfer-ready,test,Deep Context LSTM (Always TL),2,50,0.4107776880264282,0.30783602595329285,0.6498599052429199,1.0
transfer_ready_q75,Transfer-ready,test,Site-Hard Expert Selector,2,50,0.4258383512496948,0.3242309093475342,0.6237143278121948,2.0
transfer_ready_q75,Transfer-ready,test,Context-Aware Selective Learning,2,50,0.4297892153263092,0.33459633588790894,0.6166996955871582,3.0
transfer_ready_q75,Transfer-ready,test,Deep Context LSTM (No TL),2,50,0.47905102372169495,0.38768982887268066,0.5237975120544434,4.0
transfer_ready_q75,Transfer-ready,test,Random Forest,2,50,0.5190367698669434,0.4147966504096985,0.44098371267318726,5.0
transfer_ready_q75,Transfer-ready,test,Baseline LSTM (No TL),2,50,1.5615500211715698,1.401638388633728,-4.059876918792725,6.0
transfer_ready_q75,Transfer-ready,test,Baseline LSTM (TL),2,50,1.6031649112701416,1.4506932497024536,-4.33315896987915,7.0
