cohort_key,cohort_label,model_family,n_wells,mean_site_rmse,median_site_rmse,rank_mean_site_rmse
all_wells,All wells,Random Forest,494,1.1193127604472306,0.8974207975059525,1.0
all_wells,All wells,Context-Aware Selective Learning,494,1.1729172894708542,0.9824423491954803,2.0
all_wells,All wells,Site-Hard Expert Selector,494,1.1828158785577727,0.9847506284713745,3.0
all_wells,All wells,Deep Context LSTM (Always TL),494,1.1834326735754244,0.9868702590465546,4.0
all_wells,All wells,Deep Context LSTM (No TL),494,1.1944226358342267,1.0008698403835297,5.0
all_wells,All wells,Baseline LSTM (No TL),494,1.3041749112157204,1.020444929599762,6.0
all_wells,All wells,Baseline LSTM (TL),494,1.3162864073507698,1.047456443309784,7.0
high_overlap_q75,High overlap,Random Forest,145,0.9221457966296318,0.8500213812966962,1.0
high_overlap_q75,High overlap,Context-Aware Selective Learning,145,0.977844708541344,0.8920367956161499,2.0
high_overlap_q75,High overlap,Deep Context LSTM (Always TL),145,0.9866171746418394,0.9017414450645447,3.0
high_overlap_q75,High overlap,Site-Hard Expert Selector,145,0.988777782999236,0.9139823317527771,4.0
high_overlap_q75,High overlap,Deep Context LSTM (No TL),145,1.0084850781950456,0.9476767182350159,5.0
high_overlap_q75,High overlap,Baseline LSTM (No TL),145,1.0561700931910811,0.9464320540428162,6.0
high_overlap_q75,High overlap,Baseline LSTM (TL),145,1.0801778200371512,1.0171159505844116,7.0
high_similarity_q75,High similarity,Random Forest,124,0.9689306071996151,0.6431464292963872,1.0
high_similarity_q75,High similarity,Context-Aware Selective Learning,124,1.034154885478558,0.7739572525024414,2.0
high_similarity_q75,High similarity,Site-Hard Expert Selector,124,1.0454157285632626,0.7786347568035126,3.0
high_similarity_q75,High similarity,Deep Context LSTM (Always TL),124,1.046983486462024,0.7874900698661804,4.0
high_similarity_q75,High similarity,Deep Context LSTM (No TL),124,1.0638848451837417,0.7732835114002228,5.0
high_similarity_q75,High similarity,Baseline LSTM (No TL),124,1.305787925277987,0.939807265996933,6.0
high_similarity_q75,High similarity,Baseline LSTM (TL),124,1.326820587318751,0.9593997001647949,7.0
history_rich_q75,History-rich,Random Forest,145,0.9221457966296318,0.8500213812966962,1.0
history_rich_q75,History-rich,Context-Aware Selective Learning,145,0.977844708541344,0.8920367956161499,2.0
history_rich_q75,History-rich,Deep Context LSTM (Always TL),145,0.9866171746418394,0.9017414450645447,3.0
history_rich_q75,History-rich,Site-Hard Expert Selector,145,0.988777782999236,0.9139823317527771,4.0
history_rich_q75,History-rich,Deep Context LSTM (No TL),145,1.0084850781950456,0.9476767182350159,5.0
history_rich_q75,History-rich,Baseline LSTM (No TL),145,1.0561700931910811,0.9464320540428162,6.0
history_rich_q75,History-rich,Baseline LSTM (TL),145,1.0801778200371512,1.0171159505844116,7.0
transfer_ready_q75,Transfer-ready,Random Forest,33,0.6890437398924245,0.5907735672587384,1.0
transfer_ready_q75,Transfer-ready,Context-Aware Selective Learning,33,0.8013717044483532,0.7081883549690247,2.0
transfer_ready_q75,Transfer-ready,Deep Context LSTM (Always TL),33,0.8085974220073584,0.7140488624572754,3.0
transfer_ready_q75,Transfer-ready,Site-Hard Expert Selector,33,0.8101389317801504,0.7140488624572754,4.0
transfer_ready_q75,Transfer-ready,Deep Context LSTM (No TL),33,0.844530951796156,0.7567735910415649,5.0
transfer_ready_q75,Transfer-ready,Baseline LSTM (No TL),33,0.9379882369980668,0.7257302403450012,6.0
transfer_ready_q75,Transfer-ready,Baseline LSTM (TL),33,0.9427793084672003,0.8142096400260925,7.0
