site_id,n_observations,share_obs_helped_by_always_tl,share_obs_harmed_by_always_tl,mean_delta_abs_error_always_tl_vs_no_tl,mean_delta_abs_error_selective_vs_no_tl,mean_delta_abs_error_selective_vs_always_tl,selective_partial_rescue_rate,selective_full_rescue_rate,cosine_similarity,months_used,Deep Context LSTM (No TL),Deep Context LSTM (Always TL),Context-Aware Selective Learning,delta_rmse_always_tl_vs_no_tl,delta_rmse_selective_vs_no_tl,delta_rmse_selective_vs_always_tl,always_tl_site_regime,selective_partial_rescue_site,selective_full_rescue_site
9698,37,0.6756756756756757,0.32432432432432434,-0.091038726,-0.08404136,0.0069973725,0.32432432432432434,0.02702702702702703,0.33242345,128,0.8238343000411987,0.7218745350837708,0.7317817211151123,-0.10195976495742798,-0.09205257892608643,0.009907186031341553,helped,False,False
9799,28,0.5357142857142857,0.4642857142857143,-0.017079243,-0.0055602393,0.0115190055,0.4642857142857143,0.0,0.3005144,126,0.944568395614624,0.9819530248641968,0.9375258684158325,0.037384629249572754,-0.007042527198791504,-0.04442715644836426,harmed,True,True
9802,30,0.5666666666666667,0.43333333333333335,-0.04124507,-0.02766984,0.013575229,0.43333333333333335,0.1,0.45781997,141,0.7906350493431091,0.7273844480514526,0.7599912285804749,-0.0632506012916565,-0.030643820762634277,0.03260678052902222,helped,False,False
9804,37,0.43243243243243246,0.5675675675675675,0.027484633,-0.00139083,-0.028875465,0.5675675675675675,0.05405405405405406,0.21820317,108,0.7146120071411133,0.7539365887641907,0.7031858563423157,0.03932458162307739,-0.011426150798797607,-0.050750732421875,harmed,True,True
9822,37,0.5675675675675675,0.43243243243243246,-0.053974997,-0.022889575,0.031085424,0.43243243243243246,0.0,0.29423472,141,0.9081162214279175,0.8904160261154175,0.88120037317276,-0.0177001953125,-0.02691584825515747,-0.00921565294265747,helped,False,False
9840,29,0.4827586206896552,0.5172413793103449,0.030873062,0.016064398,-0.014808665,0.5172413793103449,0.0,0.34132978,123,0.8654951453208923,0.8905208706855774,0.8644996881484985,0.02502572536468506,-0.0009954571723937988,-0.026021182537078857,harmed,True,True
9844,32,0.5625,0.4375,0.03339892,-0.0021392927,-0.035538208,0.4375,0.03125,0.25681362,140,0.981084406375885,1.078381896018982,1.0252693891525269,0.09729748964309692,0.044184982776641846,-0.05311250686645508,harmed,True,False
9853,37,0.5945945945945946,0.40540540540540543,-0.091640726,-0.06489055,0.026750177,0.40540540540540543,0.0,0.54366064,137,0.8682547807693481,0.8088554739952087,0.8123816251754761,-0.059399306774139404,-0.05587315559387207,0.003526151180267334,helped,False,False
9896,27,0.48148148148148145,0.5185185185185185,0.037012763,0.01851128,-0.018501483,0.5185185185185185,0.0,0.32944596,132,1.0377005338668823,1.082744836807251,1.0468535423278809,0.04504430294036865,0.009153008460998535,-0.03589129447937012,harmed,True,False
9913,37,0.5405405405405406,0.4594594594594595,-0.056670085,-0.04068424,0.015985847,0.4594594594594595,0.0,0.32448006,138,1.4156157970428467,1.314286708831787,1.3471989631652832,-0.10132908821105957,-0.06841683387756348,0.032912254333496094,helped,False,False
9963,23,0.4782608695652174,0.5217391304347826,-0.005356703,-0.01106978,-0.0057130787,0.5217391304347826,0.08695652173913043,0.25342077,139,0.9905125498771667,1.0128191709518433,0.9978532791137695,0.022306621074676514,0.007340729236602783,-0.01496589183807373,harmed,True,False
9966,36,0.5555555555555556,0.4444444444444444,-0.008906092,-0.029428959,-0.02052287,0.4444444444444444,0.0,0.2610928,134,0.7027971744537354,0.7129393815994263,0.6812298893928528,0.010142207145690918,-0.02156728506088257,-0.031709492206573486,harmed,True,True
10041,37,0.5135135135135135,0.4864864864864865,-0.027309528,-0.023882058,0.0034274692,0.4864864864864865,0.02702702702702703,0.31899664,138,0.7415973544120789,0.6661921739578247,0.6761491894721985,-0.07540518045425415,-0.06544816493988037,0.00995701551437378,helped,False,False
10046,37,0.5405405405405406,0.4594594594594595,0.013109132,-0.025672486,-0.038781617,0.4594594594594595,0.05405405405405406,0.20230906,142,1.0070805549621582,0.9854586124420166,0.9621352553367615,-0.0216219425201416,-0.04494529962539673,-0.023323357105255127,helped,False,False
10047,36,0.5833333333333334,0.4166666666666667,-0.03654358,-0.046770416,-0.010226835,0.4166666666666667,0.0,0.16878636,135,0.7887244820594788,0.7641946077346802,0.7579168081283569,-0.024529874324798584,-0.030807673931121826,-0.006277799606323242,helped,False,False
10063,37,0.5675675675675675,0.43243243243243246,0.010282633,-0.00052018586,-0.010802818,0.43243243243243246,0.0,0.40496597,137,1.1929435729980469,1.1410794258117676,1.1430492401123047,-0.0518641471862793,-0.04989433288574219,0.0019698143005371094,helped,False,False
10094,37,0.5405405405405406,0.4594594594594595,-0.016803581,-0.018821083,-0.0020175013,0.4594594594594595,0.0,0.1699052,139,1.2133604288101196,1.2195466756820679,1.1962041854858398,0.006186246871948242,-0.017156243324279785,-0.023342490196228027,harmed,True,True
10096,37,0.4864864864864865,0.5135135135135135,0.0024454126,-0.03016534,-0.032610755,0.5135135135135135,0.13513513513513514,0.40444666,139,0.6212987303733826,0.6093341112136841,0.5803374648094177,-0.011964619159698486,-0.040961265563964844,-0.028996646404266357,helped,False,False
10132,31,0.6774193548387096,0.3225806451612903,-0.09557799,-0.086370245,0.009207748,0.3225806451612903,0.03225806451612903,0.33466342,134,0.849894642829895,0.826315701007843,0.8011151552200317,-0.023578941822052002,-0.04877948760986328,-0.02520054578781128,helped,False,False
10144,31,0.45161290322580644,0.5483870967741935,-0.005863579,-0.012744672,-0.0068810936,0.5483870967741935,0.03225806451612903,0.24930352,139,0.7143731713294983,0.6733126640319824,0.6618102788925171,-0.04106050729751587,-0.0525628924369812,-0.011502385139465332,helped,False,False
10153,35,0.34285714285714286,0.6571428571428571,0.084177725,0.029488778,-0.05468895,0.6571428571428571,0.02857142857142857,0.26105213,134,1.0457031726837158,1.1172888278961182,1.0712127685546875,0.07158565521240234,0.02550959587097168,-0.046076059341430664,harmed,True,False
10160,10,0.1,0.9,0.3384463,0.09423311,-0.24421315,0.9,0.1,0.3217674,42,0.6601942777633667,0.9877666234970093,0.7639485001564026,0.3275723457336426,0.10375422239303589,-0.2238181233406067,harmed,True,False
10267,22,0.45454545454545453,0.5454545454545454,0.034412015,0.011330706,-0.023081308,0.5454545454545454,0.045454545454545456,0.17067252,129,0.7832017540931702,0.7896887063980103,0.7677653431892395,0.006486952304840088,-0.015436410903930664,-0.021923363208770752,harmed,True,True
10301,32,0.46875,0.53125,-0.0026216041,-0.0075824875,-0.0049608834,0.53125,0.09375,0.5473404,98,0.4677256941795349,0.4666343033313751,0.46158942580223083,-0.00109139084815979,-0.006136268377304077,-0.005044877529144287,helped,False,False
10335,37,0.5135135135135135,0.4864864864864865,0.00874414,-0.01952239,-0.028266527,0.4864864864864865,0.02702702702702703,0.34794167,139,0.8622525930404663,0.8377013206481934,0.8258092403411865,-0.02455127239227295,-0.036443352699279785,-0.011892080307006836,helped,False,False
10375,32,0.53125,0.46875,0.009039602,-0.006153942,-0.015193546,0.4375,0.0,0.18966228,138,1.00566828250885,0.9539317488670349,0.9537383913993835,-0.051736533641815186,-0.05192989110946655,-0.0001933574676513672,helped,False,False
10472,35,0.6,0.4,-0.009958742,-0.022033691,-0.012074948,0.4,0.05714285714285714,0.3108091,140,1.0386282205581665,1.0635722875595093,1.027296543121338,0.024944067001342773,-0.011331677436828613,-0.03627574443817139,harmed,True,True
