seed,model_family,rmse_test,mae_test,r2_test
11,Deep Context LSTM (No TL),2.06313741833342,0.9028695225715637,0.21162950992584229
11,Context-Aware Selective Learning,2.089878203206072,0.9555264711380005,0.19106054306030273
11,Site-Hard Expert Selector,2.110921448280188,0.9911600351333618,0.17468786239624023
11,Deep Context LSTM (Always TL),2.133602345413332,1.0342390537261963,0.156857430934906
11,Random Forest,2.143733521941813,0.8782268968204434,0.14883119108221754
11,Baseline LSTM (No TL),2.323136893696854,1.0597106218338013,0.00040590763092041016
11,Baseline LSTM (TL),2.346050913213551,1.0716629028320312,-0.019410133361816406
23,Deep Context LSTM (No TL),1.9892828017000928,0.859312117099762,0.2670621871948242
23,Context-Aware Selective Learning,2.0024263446039567,0.8675370216369629,0.2573448419570923
23,Site-Hard Expert Selector,2.0210376780384443,0.8902772068977356,0.24347567558288574
23,Deep Context LSTM (Always TL),2.0272875357241364,0.8993533253669739,0.23878949880599976
23,Random Forest,2.1357367311386293,0.8630534127282818,0.1551695940916964
23,Baseline LSTM (No TL),2.3344632092499973,1.0642180442810059,-0.009364843368530273
23,Baseline LSTM (TL),2.3456898100488566,1.0710999965667725,-0.01909637451171875
42,Context-Aware Selective Learning,2.092473566214201,0.9092753529548645,0.1890500783920288
42,Site-Hard Expert Selector,2.0964326895150918,0.9165830612182617,0.18597841262817383
42,Deep Context LSTM (Always TL),2.0983933160807027,0.9151559472084045,0.18445509672164917
42,Deep Context LSTM (No TL),2.106178857524406,0.9331862926483154,0.1783921718597412
42,Random Forest,2.153770552930071,0.8656902553463567,0.14084213142185786
42,Baseline LSTM (No TL),2.3229104855944134,1.0576287508010864,0.0006007552146911621
42,Baseline LSTM (TL),2.3435252781264233,1.0686460733413696,-0.01721644401550293
67,Context-Aware Selective Learning,2.077540265185442,0.9365376234054565,0.20058369636535645
67,Deep Context LSTM (No TL),2.0782561296666073,0.9361170530319214,0.20003271102905273
67,Site-Hard Expert Selector,2.086078653310232,0.9511381387710571,0.1939992904663086
67,Deep Context LSTM (Always TL),2.092118951701563,0.960624098777771,0.18932491540908813
67,Random Forest,2.1607269028567253,0.8694229338224985,0.13528327137988616
67,Baseline LSTM (No TL),2.3224930198737006,1.0581072568893433,0.000959932804107666
67,Baseline LSTM (TL),2.3445522715443787,1.0694748163223267,-0.018108129501342773
89,Deep Context LSTM (Always TL),2.0247750004229226,0.9054194092750549,0.240675151348114
89,Site-Hard Expert Selector,2.0269798584338674,0.9131203889846802,0.23902052640914917
89,Context-Aware Selective Learning,2.0284378539305314,0.9133213758468628,0.23792541027069092
89,Deep Context LSTM (No TL),2.0609627977370204,0.9519737958908081,0.21329057216644287
89,Random Forest,2.1280329928278836,0.8734057712715863,0.1612533161617158
89,Baseline LSTM (TL),2.344435934781525,1.069616436958313,-0.01800704002380371
89,Baseline LSTM (No TL),2.392907542692265,1.1594854593276978,-0.06053721904754639
