site_id,cosine_similarity,months_used,train_rows,cohort_key,cohort_label
9689,0.5659646,17,9,all_wells,All wells
9943,0.5293636,82,74,all_wells,All wells
10385,0.6220231,102,94,all_wells,All wells
18022,0.6054965,7,0,all_wells,All wells
18027,0.5650503,7,0,all_wells,All wells
18055,0.6885283,7,0,all_wells,All wells
18086,0.62208045,7,0,all_wells,All wells
29249,0.21736836,75,67,all_wells,All wells
29263,0.23373753,70,62,all_wells,All wells
29357,0.29305062,76,68,all_wells,All wells
29366,0.33681178,73,65,all_wells,All wells
29373,0.29503244,72,64,all_wells,All wells
29419,0.2343009,75,67,all_wells,All wells
29465,0.41363707,33,25,all_wells,All wells
29476,0.28703186,71,63,all_wells,All wells
29532,0.38090703,68,60,all_wells,All wells
29570,0.27907047,74,66,all_wells,All wells
29599,0.22535819,75,67,all_wells,All wells
29680,0.39026245,75,67,all_wells,All wells
29708,0.1594778,71,63,all_wells,All wells
29740,0.320812,42,34,all_wells,All wells
29756,0.2620216,76,68,all_wells,All wells
29794,0.26495233,69,61,all_wells,All wells
29812,0.19760868,88,80,all_wells,All wells
29828,0.6414941,18,10,all_wells,All wells
29829,0.23433611,72,64,all_wells,All wells
29848,0.25596964,83,75,all_wells,All wells
29861,0.33707836,42,34,all_wells,All wells
29908,0.2268546,72,64,all_wells,All wells
29931,0.20087205,87,79,all_wells,All wells
29961,0.25220582,72,64,all_wells,All wells
29971,0.8236875,5,0,all_wells,All wells
29982,0.38828057,78,70,all_wells,All wells
29997,0.8803168,2,0,all_wells,All wells
30035,0.26242867,76,68,all_wells,All wells
30066,0.24604635,131,123,all_wells,All wells
30104,0.23884137,78,70,all_wells,All wells
30225,0.24400294,73,65,all_wells,All wells
30247,0.5671431,14,6,all_wells,All wells
30249,0.34519556,61,53,all_wells,All wells
30265,0.30436182,78,70,all_wells,All wells
30341,0.26462767,73,65,all_wells,All wells
30380,0.5314365,16,8,all_wells,All wells
30385,0.4331036,74,66,all_wells,All wells
30425,0.19308144,91,83,all_wells,All wells
30427,0.34020707,77,69,all_wells,All wells
30474,0.23902103,74,66,all_wells,All wells
30578,0.28054836,87,79,all_wells,All wells
30586,0.2854405,81,73,all_wells,All wells
30638,0.45019642,42,34,all_wells,All wells
30656,0.34704858,59,51,all_wells,All wells
30760,0.49497777,81,73,all_wells,All wells
30788,0.33335906,30,22,all_wells,All wells
30795,0.26132113,84,76,all_wells,All wells
30808,0.2584405,73,65,all_wells,All wells
30832,0.274078,74,66,all_wells,All wells
30868,0.36919162,88,80,all_wells,All wells
30919,0.21049602,71,63,all_wells,All wells
30981,0.7754174,7,0,all_wells,All wells
31008,0.22366522,76,68,all_wells,All wells
31022,0.3074694,73,65,all_wells,All wells
31032,0.2321098,93,85,all_wells,All wells
31064,0.22798221,80,72,all_wells,All wells
31247,0.6432886,26,18,all_wells,All wells
31257,0.2953672,73,65,all_wells,All wells
31324,0.22564562,88,80,all_wells,All wells
31343,0.23565331,73,65,all_wells,All wells
31403,0.28540343,77,69,all_wells,All wells
31425,0.2813055,97,89,all_wells,All wells
31482,0.28520164,107,99,all_wells,All wells
31515,0.33165225,75,67,all_wells,All wells
31528,0.2993906,38,30,all_wells,All wells
31541,0.2576436,84,76,all_wells,All wells
31543,0.23873766,75,67,all_wells,All wells
31567,0.20472473,74,66,all_wells,All wells
31593,0.45063224,26,18,all_wells,All wells
31631,0.30669937,73,65,all_wells,All wells
31642,0.517167,20,12,all_wells,All wells
31683,0.271518,66,58,all_wells,All wells
31688,0.27386406,74,66,all_wells,All wells
31696,0.21407597,89,81,all_wells,All wells
31792,0.7480108,18,10,all_wells,All wells
31854,0.21095157,77,69,all_wells,All wells
31920,0.42720702,77,69,all_wells,All wells
31933,0.30310565,83,75,all_wells,All wells
31939,0.31024912,76,68,all_wells,All wells
31988,0.31546697,74,66,all_wells,All wells
31997,0.2615692,72,64,all_wells,All wells
32135,0.4035433,19,11,all_wells,All wells
32138,0.379801,73,65,all_wells,All wells
32189,0.2499047,76,68,all_wells,All wells
32219,0.2491555,62,54,all_wells,All wells
32332,0.20296766,73,65,all_wells,All wells
32804,0.42208657,47,39,all_wells,All wells
33050,0.3570728,109,101,all_wells,All wells
104122,0.33416167,54,46,all_wells,All wells
104211,0.47282803,50,42,all_wells,All wells
9689,0.5659646,17,9,high_similarity_q75,High similarity
9943,0.5293636,82,74,high_similarity_q75,High similarity
10385,0.6220231,102,94,high_similarity_q75,High similarity
18022,0.6054965,7,0,high_similarity_q75,High similarity
18027,0.5650503,7,0,high_similarity_q75,High similarity
18055,0.6885283,7,0,high_similarity_q75,High similarity
18086,0.62208045,7,0,high_similarity_q75,High similarity
29465,0.41363707,33,25,high_similarity_q75,High similarity
29828,0.6414941,18,10,high_similarity_q75,High similarity
29971,0.8236875,5,0,high_similarity_q75,High similarity
29997,0.8803168,2,0,high_similarity_q75,High similarity
30247,0.5671431,14,6,high_similarity_q75,High similarity
30380,0.5314365,16,8,high_similarity_q75,High similarity
30385,0.4331036,74,66,high_similarity_q75,High similarity
