model_family,split,rmse,mae,r2,n,budget_label,budget_windows_per_site,effective_train_windows_total,mean_train_windows_per_site,median_train_windows_per_site
Context-Aware Selective Learning,cal,1.1195571949648424,0.7403537631034851,0.2029781937599182,1292,full,,5554,54.450980392156865,65.0
Site-Hard Expert Selector,cal,1.1704231566799634,0.8052029540301276,0.12890917602409602,1292,full,,5554,54.450980392156865,65.0
Deep Context LSTM (No TL),cal,1.2159053175291563,0.8570821285247803,0.059893250465393066,1292,full,,5554,54.450980392156865,65.0
Deep Context LSTM (Always TL),cal,1.2308567464758657,0.8724221587181091,0.03663104772567749,1292,full,,5554,54.450980392156865,65.0
Random Forest,cal,1.2450362517398623,0.8681349936657814,0.014307115369384338,1292,full,,5554,54.450980392156865,65.0
Baseline LSTM (TL),cal,1.263074778030763,0.8978523015975952,-0.014461994171142578,1292,full,,5554,54.450980392156865,65.0
Baseline LSTM (No TL),cal,1.2642873594690538,0.9020617008209229,-0.0164107084274292,1292,full,,5554,54.450980392156865,65.0
Context-Aware Selective Learning,test,1.2628956788443042,0.8700042366981506,0.22718000411987305,2076,full,,5554,54.450980392156865,65.0
Site-Hard Expert Selector,test,1.2867692592142732,0.8810908594896616,0.1976852999419677,2076,full,,5554,54.450980392156865,65.0
Deep Context LSTM (Always TL),test,1.2948350603970464,0.9015377163887024,0.18759554624557495,2076,full,,5554,54.450980392156865,65.0
Random Forest,test,1.2977279453046584,0.8909524811709328,0.1839613871775092,2076,full,,5554,54.450980392156865,65.0
Deep Context LSTM (No TL),test,1.3044742706937216,0.9267797470092773,0.17545491456985474,2076,full,,5554,54.450980392156865,65.0
Baseline LSTM (No TL),test,1.4378489195255735,0.9700813889503479,-0.001774430274963379,2076,full,,5554,54.450980392156865,65.0
Baseline LSTM (TL),test,1.4395936563492495,0.97235107421875,-0.00420689582824707,2076,full,,5554,54.450980392156865,65.0
Context-Aware Selective Learning,val,1.2230279619477948,0.8552262783050537,0.19281399250030518,1766,full,,5554,54.450980392156865,65.0
