site_id,cell_id,cosine_similarity,months_used,selector_rmse_no_tl,selector_rmse_always_tl,selector_rmse_random_forest,selected_expert,selected_parent,use_transfer,selected_selector_rmse
9689,124887,0.5659646,17,0.99184203,0.9350372,1.0511895529160982,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.9350372
9943,75352,0.5293636,82,1.408767,1.6073034,0.8691457305691218,Random Forest,Random Forest,False,0.86914575
10385,22059,0.6220231,102,0.3493548,0.39362133,0.30482736555796525,Random Forest,Random Forest,False,0.30482736
18022,7271,0.6054965,7,1.0469532,0.960437,1.3147163049540294,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.960437
18027,28977,0.5650503,7,1.0134059,0.96909,1.3964960621556228,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.96909
18055,54652,0.6885283,7,0.9374446,1.043969,1.09503332239244,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.9374446
18086,7271,0.62208045,7,0.8755052,0.91827345,1.1128340634419298,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.8755052
29249,28544,0.21736836,75,0.6003758,0.6804956,0.6517488739082009,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.6003758
29263,67575,0.23373753,70,1.1394583,1.1492794,1.1238492567540947,Random Forest,Random Forest,False,1.1238493
29357,69646,0.29305062,76,0.9501162,0.9594221,0.9186215408848102,Random Forest,Random Forest,False,0.91862154
29366,22059,0.33681178,73,1.2081149,1.1545358,1.186639712895815,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.1545358
29373,36514,0.29503244,72,0.98860687,0.9833932,1.1805815006153968,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.9833932
29419,67575,0.2343009,75,0.6173274,0.5907719,0.6638616412742706,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.5907719
29465,36509,0.41363707,33,0.5064413,0.48664328,0.43088231213257333,Random Forest,Random Forest,False,0.4308823
29476,7658,0.28703186,71,0.42646468,0.16799355,0.24703704315637812,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.16799355
29532,62400,0.38090703,68,0.7408792,0.7839522,0.7917464952756361,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.7408792
29570,154276,0.27907047,74,0.7057899,0.8326631,0.5747217872629359,Random Forest,Random Forest,False,0.5747218
29599,82879,0.22535819,75,0.8112853,0.8555283,0.8186358803856462,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.8112853
29680,28977,0.39026245,75,0.6676183,0.6419399,0.7159690894006155,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.6419399
29708,60735,0.1594778,71,0.84994715,0.84112996,0.9166715223286844,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.84112996
29740,69646,0.320812,42,1.4316267,1.3597112,1.451716061797602,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.3597112
29756,81796,0.2620216,76,1.1400156,1.1934446,1.2058718645028408,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,1.1400156
29794,36514,0.26495233,69,0.949415,1.0258917,1.2517595753386732,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.949415
29812,67575,0.19760868,88,0.8820624,0.8018264,0.675300445953262,Random Forest,Random Forest,False,0.6753004
29828,125300,0.6414941,18,0.753002,0.7962865,0.900960438092861,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.753002
29829,78792,0.23433611,72,0.71249497,0.70306057,0.7060594011925501,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.70306057
29848,36514,0.25596964,83,0.7225955,0.78403705,0.7529014248561615,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.7225955
29861,32377,0.33707836,42,0.941936,0.9091692,0.981186021502075,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.9091692
29908,28544,0.2268546,72,0.65130216,0.6554504,0.6394951624699751,Random Forest,Random Forest,False,0.63949513
29931,67575,0.20087205,87,0.89183956,0.8952003,0.9283819193596344,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.89183956
29961,34400,0.25220582,72,1.3196139,1.2480906,1.1022749012908353,Random Forest,Random Forest,False,1.1022749
29971,95673,0.8236875,5,0.82739073,0.8708344,0.9495960685613654,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.82739073
29982,47390,0.38828057,78,0.6920906,0.6748961,0.7312268658852502,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.6748961
29997,121675,0.8803168,2,0.9358568,0.8699381,0.8724700631737127,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.8699381
30035,48853,0.26242867,76,0.7582842,0.82325655,0.9452127321410132,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.7582842
30066,55441,0.24604635,131,0.6892232,0.7498611,0.7541795664390729,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.6892232
30104,64997,0.23884137,78,2.729606,2.683771,3.0380948406240966,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,2.683771
30225,96894,0.24400294,73,1.2819638,1.2881728,1.2936884981809336,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,1.2819638
30247,25597,0.5671431,14,0.7858642,0.8954397,0.5674025536374342,Random Forest,Random Forest,False,0.56740254
30249,61334,0.34519556,61,1.3063476,1.2159156,1.4021566503531928,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.2159156
30265,89283,0.30436182,78,0.7197076,0.81146175,0.7324868917623846,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.7197076
30341,58826,0.26462767,73,1.2458438,1.1916075,1.1906442528621142,Random Forest,Random Forest,False,1.1906443
30380,124887,0.5314365,16,0.72086585,0.7885123,0.7791258568875086,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.72086585
30385,75352,0.4331036,74,0.90905446,0.9487808,0.7137211823056906,Random Forest,Random Forest,False,0.71372116
30425,68092,0.19308144,91,1.54277,1.5194519,1.6397546008087114,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.5194519
30427,89709,0.34020707,77,0.84301937,0.9071027,0.9828878492879327,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.84301937
30474,68092,0.23902103,74,1.2829722,1.3563325,1.3039805802859752,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,1.2829722
30578,67575,0.28054836,87,0.8279799,0.8573058,0.8149395424941355,Random Forest,Random Forest,False,0.81493956
30586,37373,0.2854405,81,0.6176011,0.67036664,0.5994938283059037,Random Forest,Random Forest,False,0.5994938
30638,125300,0.45019642,42,1.1958568,1.1340169,0.9475043116167526,Random Forest,Random Forest,False,0.9475043
30656,136768,0.34704858,59,0.35467848,0.3774423,0.35317094059440857,Random Forest,Random Forest,False,0.35317093
30760,11741,0.49497777,81,0.51944995,0.48109737,0.5056345722166267,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.48109737
30788,10818,0.33335906,30,0.9238407,0.92672867,1.0721662926315108,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.9238407
30795,101998,0.26132113,84,1.1843716,1.1572539,1.1733934411101916,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.1572539
30808,125300,0.2584405,73,1.0190753,1.0110182,1.0137454617413308,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.0110182
30832,118020,0.274078,74,2.2159355,2.2044127,2.13232274274514,Random Forest,Random Forest,False,2.1323228
30868,54218,0.36919162,88,0.87808925,0.90841514,1.0162945314908645,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.87808925
30919,67575,0.21049602,71,0.976099,0.95231616,0.8488481600521215,Random Forest,Random Forest,False,0.84884816
30981,91961,0.7754174,7,0.6811887,0.7798094,0.6732955581689971,Random Forest,Random Forest,False,0.67329556
31008,61882,0.22366522,76,1.5501741,1.5648937,1.573314454333486,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,1.5501741
31022,73539,0.3074694,73,1.212076,1.225101,0.9736789041658004,Random Forest,Random Forest,False,0.9736789
31032,10671,0.2321098,93,0.7803944,0.8512705,1.104930463065121,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.7803944
31064,38645,0.22798221,80,0.45266843,0.48811254,0.5094425505989236,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.45266843
31247,7271,0.6432886,26,1.1078312,1.1011621,1.1026604803923636,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.1011621
31257,16034,0.2953672,73,0.89990044,0.80143994,0.7613216646984267,Random Forest,Random Forest,False,0.76132166
31324,132086,0.22564562,88,0.88966143,0.93706894,0.8426946647068893,Random Forest,Random Forest,False,0.84269464
31343,68092,0.23565331,73,1.3893996,1.424236,1.1210662870457755,Random Forest,Random Forest,False,1.1210663
31403,67575,0.28540343,77,0.68389,0.68599015,0.7024753943915587,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.68389
31425,47390,0.2813055,97,0.50052077,0.54117835,0.44847099165312193,Random Forest,Random Forest,False,0.44847098
31482,64997,0.28520164,107,0.8090145,0.78716993,0.5380512857496583,Random Forest,Random Forest,False,0.5380513
31515,69646,0.33165225,75,1.1457666,1.2113782,1.175262626570205,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,1.1457666
31528,44913,0.2993906,38,0.86938965,0.8454265,0.8753510577432856,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.8454265
31541,12080,0.2576436,84,1.580319,1.7238606,1.5704144333388517,Random Forest,Random Forest,False,1.5704144
31543,73539,0.23873766,75,1.0866704,1.0649295,1.1453412746703986,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.0649295
31567,89023,0.20472473,74,1.2148848,1.3096243,1.0962901727138823,Random Forest,Random Forest,False,1.0962902
31593,137186,0.45063224,26,0.7848631,0.8072948,0.7950154080688502,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.7848631
31631,67575,0.30669937,73,0.73611397,0.70111364,0.75378760133926,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.70111364
31642,38507,0.517167,20,0.6715687,0.76079106,0.8021437992789809,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.6715687
31683,85490,0.271518,66,1.6476691,1.6862223,1.7243824488480057,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,1.6476691
31688,73539,0.27386406,74,0.85120785,0.8181923,0.8626155278463046,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.8181923
31696,68092,0.21407597,89,1.9187942,1.9240539,1.8962404848792829,Random Forest,Random Forest,False,1.8962405
31792,44913,0.7480108,18,0.47029272,0.47181275,0.5693241212554245,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.47029272
31854,75352,0.21095157,77,0.60358274,0.63142246,0.6806686037705726,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.60358274
31920,54218,0.42720702,77,0.9433235,0.9361983,0.9795349278404383,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.9361983
31933,88843,0.30310565,83,0.8994427,0.9848941,1.1660212556372256,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.8994427
31939,67575,0.31024912,76,0.72801316,0.71347743,0.6584923079569339,Random Forest,Random Forest,False,0.6584923
31988,67575,0.31546697,74,1.3945351,1.4873606,1.3767465007515876,Random Forest,Random Forest,False,1.3767465
31997,17268,0.2615692,72,0.6853938,0.628413,0.6637942218212549,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.628413
32135,53252,0.4035433,19,0.91430205,0.98865,1.020756884931629,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.91430205
32138,16034,0.379801,73,0.75615364,0.76197094,0.9687373036088694,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.75615364
32189,20880,0.2499047,76,1.1893986,1.2635937,1.2514890421937372,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,1.1893986
32219,55204,0.2491555,62,1.8369905,1.8848963,1.8350444805776054,Random Forest,Random Forest,False,1.8350445
32332,73539,0.20296766,73,0.68185633,0.74413824,0.2255656223019093,Random Forest,Random Forest,False,0.22556563
32804,67575,0.42208657,47,1.0491213,1.1408851,0.8469453440625675,Random Forest,Random Forest,False,0.84694535
33050,49381,0.3570728,109,0.23824151,0.43380812,0.4647007099817659,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.23824151
104122,53252,0.33416167,54,2.1925156,2.2080038,2.4635833671904597,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,2.1925156
104211,69646,0.47282803,50,2.7012174,2.64208,2.86605918028585,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,2.64208
