model_family,split,rmse,mae,r2,n,fold_id,train_start,train_end,test_start,test_end
Context-Aware Selective Learning,cal,1.14919458463716,0.7606321573257446,0.31276965141296387,813,1,1996-07-01,2006-06-01,2010-07-01,2012-12-01
Site-Hard Expert Selector,cal,1.1971684942923515,0.8266333778593515,0.25419426900541087,813,1,1996-07-01,2006-06-01,2010-07-01,2012-12-01
Deep Context LSTM (Always TL),cal,1.2380098352303488,0.8662944436073303,0.2024400234222412,813,1,1996-07-01,2006-06-01,2010-07-01,2012-12-01
Deep Context LSTM (No TL),cal,1.2387273327921722,0.8598105907440186,0.20151525735855103,813,1,1996-07-01,2006-06-01,2010-07-01,2012-12-01
Random Forest,cal,1.2631647357382618,0.8765707768696792,0.16969979761747667,813,1,1996-07-01,2006-06-01,2010-07-01,2012-12-01
Baseline LSTM (TL),cal,1.4171637149316318,0.9852806925773621,-0.045093655586242676,813,1,1996-07-01,2006-06-01,2010-07-01,2012-12-01
Baseline LSTM (No TL),cal,1.419818858695347,0.9875646829605103,-0.049013376235961914,813,1,1996-07-01,2006-06-01,2010-07-01,2012-12-01
Deep Context LSTM (Always TL),test,1.2367335614433803,0.9195828437805176,0.07636404037475586,1572,1,1996-07-01,2006-06-01,2010-07-01,2012-12-01
Context-Aware Selective Learning,test,1.2437037205352675,0.9204143285751343,0.06592363119125366,1572,1,1996-07-01,2006-06-01,2010-07-01,2012-12-01
Site-Hard Expert Selector,test,1.2469252216232327,0.9170056082869048,0.06107839861168973,1572,1,1996-07-01,2006-06-01,2010-07-01,2012-12-01
Deep Context LSTM (No TL),test,1.2553306403925517,0.93310546875,0.04837733507156372,1572,1,1996-07-01,2006-06-01,2010-07-01,2012-12-01
Random Forest,test,1.2824381463419423,0.9521855665501712,0.0068350893491622156,1572,1,1996-07-01,2006-06-01,2010-07-01,2012-12-01
Baseline LSTM (TL),test,1.2872455160241072,0.968515932559967,-0.0006248950958251953,1572,1,1996-07-01,2006-06-01,2010-07-01,2012-12-01
Baseline LSTM (No TL),test,1.2876620459197585,0.9698966145515442,-0.0012725591659545898,1572,1,1996-07-01,2006-06-01,2010-07-01,2012-12-01
Deep Context LSTM (Always TL),val,1.2336731376010979,0.8327443599700928,0.14289188385009766,1512,1,1996-07-01,2006-06-01,2010-07-01,2012-12-01
