site_id,cell_id,cosine_similarity,months_used,sim_mean,sim_std,sim_max,sim_min,sim_q90,sim_q95,train_rows,wtda_mean,wtda_std,pr_a_mean,pr_a_std,sm_a_mean,sm_a_std,tsmp_wtda_mean,tsmp_wtda_std,pumping_log_mean,pumping_log_std,lon_norm,lat_norm,max_observations,sim_top3_mean,sim_top3_std,sim_top5_mean,sim_top5_std,sim_top10_mean,sim_top10_std,selector_rmse_no_tl,selector_rmse_always_tl,selector_rmse_random_forest,selector_rmse_selective_learning,selector_rmse_selective_learning_oof,selector_observations,selector_gamma_mean,selector_gamma_std,selector_gamma_oof_mean,selector_gamma_oof_std,upper_envelope_share,upper_envelope_share_oof,selected_expert,selected_expert_count,selector_model,selected_parent,use_transfer,selected_selector_rmse,selector_gain_vs_no_tl,selector_gain_vs_no_tl_oof
9689,124887,0.5659646,17,0.040206227961367184,0.22240250613341794,0.5659646,-0.6592747,0.32785206200000006,0.387101345,9,-0.5965553649712243,0.6891579917109445,0.038459193,0.120195866,-0.103564985,0.13545671,0.040131636,0.14042664,14.39908289207311,0.0,-3.38801583633599,-1.264366784920212,27869,0.5507990166666666,0.024992374826351173,0.5338626040000001,0.02965841302996045,0.511593919,0.03077858664288514,0.99184203,0.9350372,1.0511895529160982,0.91799974,0.95884204,24,0.40796676,0.26809734,0.59555715,0.22241592,0.4583333333333333,0.7083333333333334,Deep Context LSTM (Always TL),10,hgb_env,Deep Context LSTM (Always TL),True,0.91799974,-0.07384229,-0.032999992
9943,75352,0.5293636,82,0.010804602482714845,0.15377188313546383,0.5293636,-0.53166485,0.20531043800000007,0.25665637999999985,74,-1.87988281805658,0.9438485672606003,-0.025208877,0.138038,-0.057210915,0.14345606,0.010564169,0.14748448,0.0,0.0,-0.48859075407063135,3.1459124483574374,23281,0.46429732333333334,0.05644021134625237,0.435841282,0.055919268710733515,0.392497222,0.05921533299627588,1.408767,1.6073034,0.8691457305691218,0.7571076,1.0176448,24,0.8196173,0.2320654,0.5735865,0.2688704,0.875,0.5416666666666666,Random Forest,19,hgb_env,Random Forest,False,0.7571076,-0.65165937,-0.39112222
10385,22059,0.6220231,102,0.01475322447130664,0.19536018462117874,0.6220231,-0.5765938,0.21354683500000002,0.2823824609999999,94,-4.292930201215948,2.59217741286726,-0.015556821,0.13289154,0.03939618,0.18137737,-0.058021873,0.15411419,12.130864707601148,0.5564855031608452,-3.183056726620754,1.284824380582885,41722,0.5515989933333333,0.06755415569641092,0.508529502,0.07623397446722957,0.456128732,0.07550695888148753,0.3493548,0.39362133,0.30482736555796525,0.18151215,0.29752287,24,0.34066904,0.2777757,0.5645268,0.25480443,0.25,0.5833333333333334,Random Forest,13,hgb_env,Random Forest,False,0.18151215,-0.16784266,-0.05183193
18022,7271,0.6054965,7,0.04687796617569531,0.19120738723084418,0.6054965,-0.61416173,0.289235522,0.35750239999999994,0,-0.560422317087501,0.1846062961401076,-0.05307067,0.07013389,-0.106749974,0.15262361,0.025281629,0.18295778,14.803083645122728,0.0,-2.582000663359277,2.808177489939913,77309,0.59439086,0.012244427233121228,0.55730578,0.05520184730210945,0.505344473,0.06629350315899143,1.0469532,0.960437,1.3147163049540294,0.67478025,1.0462629,20,0.5142362,0.30271542,0.6685895,0.28525814,0.45,0.75,Random Forest,10,hgb_env,Random Forest,False,0.67478025,-0.37217295,-0.000690341
18027,28977,0.5650503,7,0.03207225244652344,0.18589392781324984,0.5650503,-0.6351827,0.25844696500000003,0.33357112,0,-0.6549892018179367,0.0029348997721717527,-0.05307067,0.07013389,-0.106749974,0.15262361,0.025281629,0.18295778,14.803083645122728,0.0,-2.574684429646623,2.8206241078033316,77310,0.5280131533333333,0.03223008202624583,0.508628466,0.036830551418532705,0.47736059500000005,0.042257480757327937,1.0134059,0.96909,1.3964960621556228,0.9656715,1.0653927,20,0.60486865,0.29389393,0.5930931,0.18591796,0.6,0.75,Deep Context LSTM (Always TL),13,hgb_env,Deep Context LSTM (Always TL),True,0.9656715,-0.04773444,0.051986814
18055,54652,0.6885283,7,0.1525396910736328,0.23609800212193227,0.6885283,-0.557764,0.44938826000000004,0.5029232915,0,-0.011536650410473137,0.1665895051499942,-0.05307067,0.07013389,-0.106749974,0.15262361,0.025281629,0.18295778,14.803083645122728,0.0,-2.5698916056899224,2.768754106804533,77170,0.66501458,0.03288950688862935,0.637334308,0.04568083035664216,0.6017201,0.04861725348277002,0.9374446,1.043969,1.09503332239244,0.40354007,0.7297581,20,0.60991216,0.32429746,0.6879519,0.1691428,0.65,0.8,Random Forest,8,hgb_env,Random Forest,False,0.40354007,-0.53390455,-0.20768654
18086,7271,0.62208045,7,0.0466877656171875,0.19241394019658226,0.62208045,-0.6051184,0.29047066200000005,0.3483088109999999,0,-0.5616532579816803,0.20066813731553834,-0.05307067,0.07013389,-0.106749974,0.15262361,0.025281629,0.18295778,14.803083645122728,0.0,-2.5796034523941933,2.780845251902467,76442,0.6156416266666667,0.005655879067981694,0.564723156,0.07018597070435395,0.508761966,0.07586059296703308,0.8755052,0.91827345,1.1128340634419298,0.37604308,0.6364533,20,0.65798014,0.308978,0.5597533,0.30902317,0.75,0.5,Deep Context LSTM (Always TL),9,hgb_env,Deep Context LSTM (Always TL),True,0.37604308,-0.49946213,-0.23905194
29249,28544,0.21736836,75,0.021338115840390626,0.06942844737288385,0.21736836,-0.1469679,0.11138889100000002,0.13996128649999998,67,-0.23696076912893305,0.800652526808457,-0.023987781,0.12692311,-0.0028545328,0.16232678,-0.034121644,0.14532477,10.873629448117608,0.49346978176202294,0.2581313100847558,0.015063917230858577,293,0.20512612666666666,0.01060384998537953,0.201180324,0.009382221480674502,0.18599349,0.017824375769754805,0.6003758,0.6804956,0.6517488739082009,0.61283934,0.64120567,14,0.6836168,0.14284572,0.5690825,0.15207782,0.9285714285714286,0.7142857142857143,Random Forest,6,hgb_env,Random Forest,False,0.61283934,0.01246357,0.040829897
29263,67575,0.23373753,70,-0.015361457068390625,0.09181445670091457,0.23373753,-0.27626088,0.10879180110000002,0.136295802,62,-0.5352007170246116,0.883151209462231,-0.026496122,0.117014565,-0.009301107,0.16679706,-0.028728653,0.15051019,10.328826581226478,0.08783374006842774,-0.029572456100366493,-0.2731773128605017,717,0.21612248666666667,0.015291562019690246,0.20940916400000004,0.014242267867598543,0.192741675,0.020358130146838824,1.1394583,1.1492794,1.1238492567540947,1.0565157,1.0680723,15,0.5592422,0.2982748,0.64757717,0.251612,0.6666666666666666,0.6666666666666666,Random Forest,9,hgb_env,Random Forest,False,1.0565157,-0.082942605,-0.07138598
29357,69646,0.29305062,76,0.01122280523814453,0.08940518952888503,0.29305062,-0.23933858,0.12264820300000005,0.14740192,68,-0.3395762943066867,0.8592319760360796,-5.7380254e-05,0.13887307,0.0021949501,0.16911635,-0.025670657,0.16039523,10.89060223372702,0.48478559600090587,-0.21645364080752402,0.7936928021580948,270,0.27772337666666663,0.024861572847972312,0.26043924399999996,0.029482847466748032,0.233551578,0.035897852773032375,0.9501162,0.9594221,0.9186215408848102,0.87970567,0.9083606,13,0.7193528,0.204844,0.45583853,0.26816568,0.8461538461538461,0.3076923076923077,Random Forest,7,hgb_env,Random Forest,False,0.87970567,-0.07041055,-0.041755617
