site_id,well_id,gmw_bro_id,tube_number,distance_to_use_m,use_obj_type,use_obj_id,tube_rank_within_well_meta,gld_bro_id,gld_observations_meta,gld_first_date_meta,gld_last_date_meta,series_unknown_csv_url,series_preliminary_csv_url,series_fully_assessed_csv_url,bro_csv_url
9687,8527,GMW000000015154,1,41.43757261033003,facility_point,GUF000000042913,1,GLD000000089490,237,2007-02-07,2025-09-29,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000089490?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000089490?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000089490?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000089490
9688,8527,GMW000000015154,2,41.43757261033003,facility_point,GUF000000042913,3,GLD000000089482,25,2007-02-07,2025-09-29,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000089482?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000089482?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000089482?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000089482
9689,8527,GMW000000015154,3,41.43757261033003,facility_point,GUF000000042913,2,GLD000000089483,237,2007-02-07,2025-09-29,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000089483?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000089483?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000089483?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000089483
9941,8641,GMW000000015268,1,23.76814055138682,facility_point,GUF000000018278,1,GLD000000083954,307,2001-09-28,2025-09-30,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000083954?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000083954?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000083954?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000083954
9942,8641,GMW000000015268,2,23.76814055138682,facility_point,GUF000000018278,3,GLD000000084129,111,2001-09-28,2025-09-30,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000084129?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000084129?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000084129?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000084129
9943,8641,GMW000000015268,3,23.76814055138682,facility_point,GUF000000018278,2,GLD000000083967,306,2001-09-28,2025-09-30,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000083967?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000083967?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000083967?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000083967
10384,8832,GMW000000015459,1,45.706024779701146,design_well,536404,2,GLD000000087099,196,1990-10-15,2025-09-26,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000087099?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000087099?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000087099?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000087099
10385,8832,GMW000000015459,2,45.706024779701146,design_well,536404,1,GLD000000087275,360,1990-10-15,2025-09-26,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000087275?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000087275?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000087275?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000087275
18022,15233,GMW000000022528,1,32.32050278831232,facility_point,GUF000000021225,1,GLD000000008072,10,2001-06-15,2021-01-03,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000008072?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000008072?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000008072?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000008072
18027,15238,GMW000000022533,1,48.44971403891722,design_well,542254,1,GLD000000008009,10,2001-06-15,2021-01-03,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000008009?rapportagetype=compact&observatietype=onbekend,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000008009?rapportagetype=compact&observatietype=regulier_voorlopig,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000008009?rapportagetype=compact&observatietype=regulier_beoordeeld,https://publiek.broservices.nl/gm/gld/v1/objectsAsCsv/GLD000000008009
