site_id,well_id,gmw_bro_id,tube_number,n_gld_series,max_observations_meta,sum_observations_meta,first_date_meta,last_date_meta,lon,lat,index_right,use_obj_type,use_obj_id,facility_bro_id,distance_to_use_m,tube_rank_within_well_meta,actual_observation_rows,actual_first_date,actual_last_date,downloaded_gld_count,tube_rank_within_well_actual
9687,8527,GMW000000015154,1,1,237,237,2007-02-07,2025-09-29,4.5911719489662355,52.32140231816615,5145,facility_point,GUF000000042913,GUF000000042913,41.43738960013196,1,,,,0,1
9941,8641,GMW000000015268,1,1,307,307,2001-09-28,2025-09-30,4.826891062352474,52.47174301611492,1015,facility_point,GUF000000018278,GUF000000018278,23.76814296348025,1,,,,0,1
10385,8832,GMW000000015459,2,1,360,360,1990-10-15,2025-09-26,4.607834810916973,52.408300597978325,7754,design_well,536404,,45.6852683692673,1,,,,0,1
18022,15233,GMW000000022528,1,1,10,10,2001-06-15,2021-01-03,4.656699752086735,52.46022972753683,8036,design_well,542254,,32.31337799988062,1,,,,0,1
18027,15238,GMW000000022533,1,1,10,10,2001-06-15,2021-01-03,4.657294552096291,52.46065401753155,8036,design_well,542254,,48.42243060364549,1,,,,0,1
18055,15266,GMW000000022561,1,1,10,10,2001-06-15,2021-01-03,4.657684202056669,52.4588858375295,8345,design_well,556693,,40.83956921579503,1,,,,0,1
18086,15297,GMW000000022592,1,1,10,10,2001-06-15,2021-01-03,4.656894642065857,52.459298007535835,591,facility_point,GUF000000056227,GUF000000056227,38.76488965498094,1,,,,0,1
29249,22425,GMW000000030918,1,2,228,255,1981-07-03,2025-03-26,4.887598429993796,52.365016325677374,2794,facility_point,GUF000000048439,GUF000000048439,5.83193378998715,1,,,,0,1
29263,22436,GMW000000030929,1,2,121,134,1990-10-31,2023-01-25,4.864208589773051,52.3551905958758,2688,facility_point,GUF000000051141,GUF000000051141,38.64033069069046,1,,,,0,1
29357,22526,GMW000000031019,1,2,239,266,1979-11-15,2025-04-03,4.849015320575201,52.3915587959816,7071,realised_well,517756,,13.991230717983257,1,,,,0,1
29366,22535,GMW000000031028,1,2,209,211,1977-03-21,2022-12-01,4.8394029396087275,52.347951126084794,2257,facility_point,GUF000000058263,GUF000000058263,36.89169842975926,1,,,,0,1
29373,22542,GMW000000031035,1,2,184,225,1991-06-19,2025-03-18,4.918756770021918,52.366078415419764,2921,facility_point,GUF000000001397,GUF000000001397,42.999094920639486,1,,,,0,1
29419,22585,GMW000000031078,1,2,204,252,1991-01-09,2025-04-09,4.869516809506514,52.34308044583819,2697,facility_point,GUF000000017692,GUF000000017692,35.1717170875961,1,,,,0,1
29465,22629,GMW000000031122,1,2,99,110,2004-07-15,2022-02-01,4.8686260494703495,52.341449755846384,6431,realised_well,545394,,23.44729773037259,1,,,,0,1
29476,22640,GMW000000031133,1,2,185,227,1994-01-02,2025-03-06,4.954286908574011,52.299938215159436,3147,facility_point,GUF000000044798,GUF000000044798,22.823995534605412,1,,,,0,1
29532,22695,GMW000000031188,1,2,155,182,1994-11-07,2025-03-19,4.904894600083841,52.36897971553251,8201,design_well,549762,,27.6108793082318,1,,,,0,1
29570,22733,GMW000000031226,1,2,223,235,1979-05-04,2022-12-14,4.871351580565879,52.39101105579726,2773,facility_point,GUF000000025194,GUF000000025194,36.619954639299515,1,,,,0,1
29581,22744,GMW000000031237,1,2,63,74,2009-03-05,2022-12-28,4.931975440013722,52.36561767531101,7899,design_well,541724,,37.10651009130191,1,,,,0,1
29599,22762,GMW000000031255,1,2,238,265,1978-12-08,2025-03-05,4.952208940737892,52.39838187512641,6210,facility_point,GUF000000004499,GUF000000004499,38.4696964491066,1,,,,0,1
29655,22815,GMW000000031308,1,2,218,231,1978-09-19,2023-01-25,4.8775434897906464,52.35588686576525,3353,facility_point,GUF000000030783,GUF000000030783,48.91754540623945,1,,,,0,1
29680,22840,GMW000000031333,1,2,153,157,1990-05-09,2021-10-04,4.854974509611474,52.34795024595594,2242,facility_point,GUF000000021563,GUF000000021563,37.80174050182267,1,,,,0,1
29698,22858,GMW000000031351,3,2,53,78,2004-11-22,2025-05-08,4.987834629892617,52.359734634854554,3737,facility_point,GUF000000006404,GUF000000006404,49.25413068638751,1,,,,0,1
29708,22866,GMW000000031359,1,2,145,167,1997-04-04,2025-03-17,4.915586909835767,52.35765332545031,8162,design_well,548082,,13.293852539023419,1,,,,0,1
